feature,mean_abs_shap
pm25,11.39344
doy_cos,4.2207785
aqi_lag_1,2.6474423
pm25_roll_std_336,2.265404
wind_speed_roll_mean_24,1.8696458
humidity_roll_mean_24,1.4282672
pm25_roll_mean_168,1.1166711
aqi_roll_min_72,1.0304501
wind_gusts_roll_max_24,1.0117307
co,0.984717
temperature_roll_mean_24,0.93673813
month_cos,0.8976562
month_sin,0.8472751
pm25_lag_24,0.82830787
pm25_roll_std_168,0.7821459
aqi_same_hour_30days_ago,0.73199403
wind_x,0.7310551
pm25_roll_mean_336,0.7111062
aqi_roll_mean_48,0.7087372
pm10_roll_mean_72,0.6650464
wind_speed_roll_std_24,0.6344068
cloud_cover_roll_mean_24,0.5444416
weekday_sin,0.54009503
aqi_roll_min_168,0.48798552
pressure,0.45813537
o3,0.4431197
pressure_change_24h,0.43796209
humidity,0.427759
pm25_lag_48,0.42013076
pm25_roll_std_72,0.4192035
aqi_lag_24,0.4163099
pm25_roll_mean_72,0.4155912
wind_direction,0.41481003
pm10_roll_mean_24,0.40694073
aqi_roll_max_168,0.39358562
so2_change_24h,0.3845301
aqi_regime,0.38182172
no2,0.37591606
hour_cos,0.36607698
so2_roll_mean_24,0.36249134
no2_roll_mean_24,0.35974193
aqi_lag_48,0.35882986
pm10_roll_std_24,0.35664028
temperature_roll_std_24,0.33667484
spike_count_72h,0.33001673
aqi_roll_min_24,0.32496879
pm10_lag_72,0.319557
aqi_trend_ratio,0.3030806
pm25_lag_336,0.2993904
hour_sin,0.29742822
no2_roll_std_24,0.29251832
quarter,0.27596444
pm25_roll_max_24,0.27506426
aqi_recovery_rate,0.27389944
aqi_change_6h,0.27316415
no2_o3_ratio,0.2707368
co_roll_mean_24,0.26832458
o3_roll_mean_24,0.2620367
aqi_roll_max_72,0.2563906
aqi_roll_std_168,0.24276595
hours_since_aqi_spike,0.23835443
aqi_lag_336,0.22950335
cloud_cover,0.2221532
pm25_lag_72,0.22069927
cloud_cover_lag_1,0.21964927
pm10,0.21788582
heat_dryness,0.21748653
wind_dir_sin,0.21747024
aqi_roll_std_72,0.21574941
aqi_volatility_ratio,0.20617041
aqi_lag_168,0.19997461
rain_72h,0.19941664
so2,0.1944447
aqi_change_1h,0.19212326
pm25_pm10_ratio,0.18930821
o3_roll_std_24,0.17815863
pm25_change_24h,0.17551136
co_change_24h,0.16825649
temperature_change_24h,0.1653931
aqi_momentum_6_24,0.16420537
weekday_cos,0.15936702
aqi_momentum_24_168,0.1571732
temperature,0.15447253
no2_change_24h,0.15336865
aqi_roll_std_24,0.14829868
humidity_lag_6,0.14287399
pm25_roll_mean_24,0.13383962
aqi_diff_24_168,0.13350636
wind_speed_lag_6,0.12853226
o3_change_24h,0.12720968
aqi_lag_72,0.12384429
wind_speed,0.12344602
wind_dispersal,0.122099206
humidity_lag_24,0.11961669
aqi_zscore_72h,0.116357386
pm25_lag_168,0.113504216
aqi_change_24h,0.112096936
temperature_lag_6,0.11134029
wind_gusts,0.10913308
aqi_roll_max_24,0.10603377
wind_speed_lag_24,0.10125167
pm25_vs_24h_avg,0.09971499
wind_speed_change_24h,0.09966674
pm10_change_24h,0.09955928
aqi_percentile_72,0.09919193
pm25_roll_std_24,0.09810805
pm10_lag_24,0.09384243
temp_humidity,0.09330498
rain_24h,0.092692606
humidity_change_24h,0.08618056
aqi_trend_slope_6h,0.08207974
pm10_lag_6,0.07579153
pm25_vs_72h_avg,0.072643995
pm25_roll_std_6,0.07236727
aqi_acceleration,0.0712052
aqi_persistence_ratio,0.058130182
aqi_lag_12,0.05580945
wind_y,0.043714587
wind_dir_cos,0.04348664
pm25_lag_6,0.042691175
pm25_lag_12,0.038356427
aqi_lag_6,0.03564599
consecutive_hours_above_150,0.03454651
is_weekend,0.028394515
dust_hours_72h,0.020694843
is_rush_hour,0.015498718
aqi_above_recent_q90,0.009437373
precipitation,0.008069914
dust_event,4.228582e-05
