actual,predicted,residual
110.0,110.11893,-0.118927001953125
106.0,103.1056,2.8944015502929688
110.0,102.69661,7.3033905029296875
115.0,104.5452,10.454803466796875
138.0,109.67321,28.32678985595703
151.0,118.22032,32.77967834472656
141.0,120.42091,20.579086303710938
124.0,113.77797,10.222030639648438
110.0,107.68857,2.311431884765625
99.0,94.85853,4.141471862792969
97.0,88.579025,8.420974731445312
96.0,90.99139,5.008613586425781
94.0,91.61849,2.3815078735351562
93.0,94.90662,-1.9066162109375
104.0,98.85219,5.1478118896484375
116.0,116.672325,-0.6723251342773438
126.0,125.40698,0.593017578125
131.0,126.47292,4.527076721191406
133.0,128.48965,4.510345458984375
139.0,130.12589,8.874114990234375
148.0,130.47194,17.528060913085938
151.0,130.0486,20.951400756835938
146.0,126.77281,19.227188110351562
134.0,121.68539,12.314613342285156
123.0,121.02021,1.9797897338867188
118.0,119.50375,-1.503753662109375
133.0,112.996544,20.003456115722656
145.0,114.373795,30.626205444335938
157.0,119.11933,37.88066864013672
165.0,132.47745,32.522552490234375
150.0,125.55003,24.449966430664062
116.0,117.4361,-1.43609619140625
106.0,107.11541,-1.1154098510742188
101.0,104.67208,-3.6720809936523438
96.0,92.797035,3.2029647827148438
92.0,92.97599,-0.9759902954101562
89.0,93.03304,-4.033042907714844
85.0,91.36688,-6.36688232421875
85.0,100.4183,-15.418296813964844
91.0,108.80421,-17.80420684814453
98.0,107.40651,-9.406509399414062
101.0,109.56705,-8.567047119140625
106.0,105.87701,0.12299346923828125
115.0,107.09419,7.9058074951171875
127.0,114.52855,12.471450805664062
134.0,112.57547,21.424530029296875
132.0,109.139305,22.860694885253906
123.0,109.05264,13.947357177734375
109.0,105.36141,3.6385879516601562
95.0,107.00151,-12.001510620117188
89.0,105.723305,-16.723304748535156
97.0,109.866356,-12.866355895996094
124.0,109.02316,14.976837158203125
152.0,110.17172,41.828277587890625
105.0,124.07052,-19.070518493652344
83.0,116.17108,-33.17108154296875
81.0,97.117584,-16.117584228515625
79.0,93.69389,-14.693893432617188
78.0,94.919586,-16.919586181640625
77.0,88.69113,-11.691131591796875
76.0,87.274086,-11.274085998535156
73.0,90.83989,-17.839889526367188
72.0,94.599556,-22.59955596923828
80.0,101.52807,-21.52806854248047
91.0,114.41094,-23.41094207763672
99.0,110.067535,-11.067535400390625
111.0,111.49975,-0.49974822998046875
125.0,111.96041,13.039588928222656
137.0,113.58744,23.412559509277344
142.0,111.12663,30.873367309570312
141.0,106.56861,34.43138885498047
139.0,109.32394,29.676063537597656
139.0,107.119354,31.880645751953125
138.0,98.40016,39.59983825683594
138.0,95.357376,42.64262390136719
151.0,103.01706,47.982940673828125
157.0,104.039024,52.960975646972656
165.0,120.10647,44.893531799316406
134.0,106.34084,27.659156799316406
87.0,91.60769,-4.607688903808594
79.0,89.738304,-10.738304138183594
81.0,84.7491,-3.7490997314453125
83.0,80.20635,2.7936477661132812
83.0,79.3651,3.6349029541015625
83.0,77.25138,5.748619079589844
81.0,76.93856,4.061439514160156
74.0,79.62211,-5.622108459472656
82.0,95.10996,-13.109962463378906
