feature,importance
pm25,0.07465775125651661
pm25_roll_mean_24,0.043447186449654375
pm25_roll_mean_168,0.04210354242791667
pm25_roll_mean_72,0.033910563759549914
aqi_lag_24,0.03168564404594315
interaction_pm25_wind_inverse,0.03036812616930048
co,0.029216311051048768
hours_since_aqi_spike,0.02832792189573182
co_roll_mean_24,0.026844289014525367
so2_roll_mean_24,0.023765288743204906
pm25_roll_std_336,0.023479503743896027
pm25_roll_std_72,0.020990737255990644
pm25_roll_std_168,0.01900517705858633
pm25_pm10_ratio,0.018400634180176657
aqi_lag_48,0.017546375331825438
aqi_lag_6,0.017363025354352406
aqi_roll_min_24,0.017125272710513027
pm10,0.014433607154811285
pm25_vs_24h_avg,0.014063435575000224
pm25_vs_72h_avg,0.01384545932453447
consecutive_hours_above_150,0.013623747187230636
month_cos,0.01306383518100599
wind_dispersal,0.01301756383714902
aqi_roll_std_168,0.012762310850644644
so2,0.011674186988717389
temperature_roll_mean_24,0.011462706925022272
aqi_roll_min_72,0.010709589889742525
o3,0.010527863182923224
interaction_pm25_humidity,0.010515267913798282
aqi_persistence_ratio,0.010370723865790726
pressure,0.0100683667643012
pm25_roll_std_24h,0.009594415427153525
aqi_recovery_rate,0.008690858131050246
aqi_roll_std_72,0.00826560846304013
aqi_change_6h,0.008008739050552854
wind_gusts_roll_max_24,0.007900589165874494
aqi_zscore_72h,0.007601909124015101
aqi_same_hour_30days_ago,0.007353531411887683
aqi_roll_min_168,0.007058091591171694
aqi_lag_336,0.006861578345816407
aqi_lag_72,0.0067384827768243154
pm10_roll_mean_24,0.006429225219303416
aqi_momentum_24_168,0.006327977779563799
temp_humidity,0.0060791734344713775
humidity_roll_mean_24,0.006061569081420725
wind_speed_roll_mean_24,0.005927600068728158
pm10_roll_mean_72,0.005843454950901704
o3_roll_std_24,0.005825741134957938
pm25_roll_std_24,0.0058172910537321485
wind_speed_roll_std_24,0.005712316916043175
no2_roll_std_24,0.005669617830141801
aqi_trend_ratio,0.005569520204109277
wind_x,0.005558343023851779
aqi_roll_std_24,0.005483570505351324
temperature,0.005468774524424567
temperature_roll_std_24,0.005240734467208419
month_sin,0.005159092680821086
pm10_lag_72,0.0050911703056603615
aqi_lag_168,0.005085353858835364
pm10_lag_24,0.005028203277393108
o3_roll_mean_24,0.00501934632514954
cloud_cover_roll_mean_24,0.004963511686157328
pm25_roll_std_6,0.004899196463324305
wind_dir_sin,0.004787336185887515
so2_change_24h,0.004564357691433612
aqi_volatility_ratio,0.004538049880481473
pm10_roll_std_24,0.0045087891997506275
pm25_change_24h,0.0044916994335987715
wind_direction,0.004488400512946134
heat_dryness,0.004450617586258421
pressure_change_24h,0.004383564179223018
humidity,0.004147848645624952
temperature_change_24h,0.00413584981800289
no2,0.003998333373643259
pm10_lag_6,0.003804946084622598
aqi_diff_24_168,0.0037425960771839766
co_change_24h,0.0035294470682212128
no2_change_24h,0.003499390367076617
no2_o3_ratio,0.0034405727536470205
pm10_roll_std_12h,0.003406559225271354
weekday_sin,0.0032873721850808207
aqi_lag_12,0.003230567708287695
wind_speed_lag_24,0.0032293179500433463
pm10_change_24h,0.0031938752513434496
humidity_lag_24,0.0031562240103953595
wind_speed_lag_6,0.003076018497546428
aqi_momentum_6_24,0.0029911955215612507
pm25_diff_1h,0.0028398408207295635
o3_change_24h,0.0027953878464203577
pm10_diff_1h,0.002650106909343784
wind_dir_cos,0.002563857135193238
humidity_lag_6,0.002420165328219058
temperature_lag_6,0.002398413698073594
wind_speed,0.002371965779314544
humidity_change_24h,0.0023404962261637336
aqi_change_1h,0.0023058180543761436
quarter,0.002094847245586719
cloud_cover,0.002012837686521713
wind_speed_change_24h,0.0019582076044029487
cloud_cover_lag_1,0.0018260021947481269
weekday_cos,0.0017113266690435024
hour_cos,0.001224397484177724
rain_72h,0.0011205055394320988
hour_sin,0.0010679692348869794
aqi_above_recent_q90,0.0008032411070673426
aqi_acceleration,0.0007717648373232089
dust_hours_72h,0.0006795834452763219
rain_24h,0.00049762397627856
is_weekend,0.0004797296777423955
dust_event,0.00015778179386848537
is_rush_hour,0.00010325946714099195
precipitation,1.1337663195445472e-05
