actual,predicted,residual
104.0,85.69319,18.306808471679688
92.0,92.77246,-0.7724609375
102.0,107.86261,-5.86260986328125
104.0,115.81572,-11.815719604492188
97.0,111.82642,-14.826423645019531
95.0,118.92809,-23.92809295654297
96.0,124.09003,-28.09002685546875
97.0,123.74434,-26.744338989257812
96.0,127.35842,-31.358421325683594
91.0,125.59558,-34.5955810546875
88.0,121.93643,-33.936431884765625
89.0,118.94122,-29.94122314453125
95.0,113.6285,-18.628501892089844
107.0,114.05679,-7.056793212890625
108.0,115.979836,-7.979835510253906
129.0,122.57997,6.4200286865234375
153.0,131.48277,21.517227172851562
113.0,126.376945,-13.376945495605469
76.0,109.36455,-33.36454772949219
77.0,92.49379,-15.493789672851562
80.0,92.06786,-12.067863464355469
84.0,89.859955,-5.859954833984375
88.0,92.11174,-4.1117401123046875
91.0,92.12433,-1.12432861328125
93.0,91.19074,1.8092575073242188
134.0,92.75156,41.248443603515625
152.0,118.85396,33.14604187011719
152.0,129.09555,22.904449462890625
147.0,127.71547,19.284530639648438
146.0,128.14508,17.85491943359375
152.0,128.33371,23.666290283203125
153.0,128.05597,24.94403076171875
153.0,129.58356,23.41644287109375
151.0,128.39413,22.605865478515625
139.0,122.12618,16.873817443847656
128.0,118.72822,9.271781921386719
118.0,109.48546,8.514541625976562
115.0,107.72645,7.273551940917969
113.0,110.84369,2.15631103515625
125.0,119.08337,5.916633605957031
140.0,129.5294,10.470596313476562
144.0,126.391754,17.608245849609375
139.0,107.632744,31.36725616455078
143.0,92.19111,50.80889129638672
135.0,88.02735,46.97264862060547
129.0,86.79002,42.20997619628906
130.0,85.64997,44.35002899169922
133.0,88.8041,44.195899963378906
135.0,92.01013,42.9898681640625
156.0,92.4151,63.58489990234375
160.0,115.02788,44.97212219238281
160.0,122.75012,37.2498779296875
158.0,118.753815,39.246185302734375
157.0,119.08041,37.919593811035156
158.0,119.48389,38.51611328125
163.0,123.68784,39.312156677246094
164.0,122.40206,41.597938537597656
161.0,129.13445,31.865554809570312
159.0,120.40277,38.59722900390625
156.0,112.47859,43.52140808105469
155.0,109.91717,45.08283233642578
160.0,114.694435,45.305564880371094
158.0,124.759285,33.24071502685547
160.0,125.98413,34.015869140625
163.0,130.4107,32.58929443359375
159.0,126.675575,32.324424743652344
152.0,122.012535,29.987464904785156
139.0,104.40836,34.591636657714844
137.0,99.78416,37.215843200683594
134.0,99.77047,34.229530334472656
130.0,95.75912,34.240882873535156
128.0,96.042885,31.957115173339844
129.0,96.290016,32.709983825683594
139.0,101.19872,37.80127716064453
158.0,116.16226,41.837738037109375
161.0,125.095535,35.90446472167969
162.0,126.74518,35.25482177734375
164.0,124.48134,39.51866149902344
166.0,122.631485,43.36851501464844
163.0,123.95522,39.044776916503906
158.0,124.621506,33.37849426269531
154.0,117.86694,36.133056640625
148.0,111.51357,36.486427307128906
134.0,105.892006,28.107994079589844
124.0,110.084526,13.915473937988281
130.0,113.3295,16.670501708984375
125.0,118.0145,6.985496520996094
135.0,121.20443,13.795570373535156
151.0,127.58055,23.419448852539062
151.0,125.48201,25.517990112304688
136.0,113.79048,22.209518432617188
106.0,107.36447,-1.364471435546875
91.0,106.12436,-15.124359130859375
86.0,102.02725,-16.027252197265625
83.0,101.70064,-18.700637817382812
80.0,97.716225,-17.716224670410156
78.0,100.285774,-22.28577423095703
91.0,113.0416,-22.041603088378906
151.0,128.69731,22.302688598632812
160.0,126.29148,33.708518981933594
163.0,125.069244,37.930755615234375
159.0,122.467064,36.532936096191406
152.0,116.50488,35.4951171875
130.0,117.9752,12.024803161621094
117.0,115.42559,1.5744094848632812
110.0,110.19543,-0.19542694091796875
108.0,109.796776,-1.7967758178710938
106.0,106.18229,-0.18228912353515625
105.0,106.38792,-1.3879165649414062
105.0,110.26995,-5.269950866699219
104.0,122.937744,-18.937744140625
110.0,125.10322,-15.103218078613281
118.0,130.61293,-12.612930297851562
120.0,137.37936,-17.379364013671875
116.0,135.18776,-19.187759399414062
119.0,132.02362,-13.02362060546875
103.0,127.17774,-24.17774200439453
95.0,119.84126,-24.841262817382812
96.0,113.96552,-17.96552276611328
97.0,114.58272,-17.582717895507812
98.0,117.93682,-19.93682098388672
88.0,122.641205,-34.641204833984375
113.0,128.4433,-15.44329833984375
120.0,133.26727,-13.26727294921875
117.0,135.63933,-18.639328002929688
116.0,134.5956,-18.595596313476562
118.0,133.43118,-15.431182861328125
121.0,133.12308,-12.123077392578125
122.0,133.87929,-11.879287719726562
122.0,134.19882,-12.198822021484375
122.0,134.82733,-12.82733154296875
122.0,131.81114,-9.811141967773438
123.0,124.2616,-1.2615966796875
124.0,125.27689,-1.2768936157226562
127.0,126.4951,0.5048980712890625
135.0,128.50598,6.4940185546875
146.0,132.36084,13.63916015625
147.0,131.10747,15.892532348632812
136.0,124.46975,11.530250549316406
104.0,117.441505,-13.441505432128906
78.0,100.41379,-22.413787841796875
71.0,99.49343,-28.493431091308594
70.0,102.7607,-32.76069641113281
69.0,102.54571,-33.54570770263672
69.0,102.77448,-33.77448272705078
92.0,103.137146,-11.13714599609375
127.0,109.24756,17.75244140625
133.0,113.498215,19.501785278320312
113.0,112.222435,0.7775650024414062
97.0,114.25353,-17.25353240966797
91.0,116.16149,-25.16149139404297
88.0,114.06985,-26.069847106933594
89.0,109.56377,-20.563766479492188
92.0,110.17942,-18.179420471191406
96.0,101.052795,-5.05279541015625
98.0,104.579544,-6.5795440673828125
101.0,101.68588,-0.685882568359375
99.0,101.22239,-2.2223892211914062
102.0,99.92356,2.0764389038085938
109.0,103.07499,5.925010681152344
115.0,113.159,1.84100341796875
116.0,112.5377,3.4623031616210938
105.0,108.512344,-3.5123443603515625
87.0,97.33683,-10.336830139160156
77.0,87.615555,-10.615554809570312
78.0,83.00708,-5.007080078125
79.0,78.29996,0.700042724609375
80.0,74.864525,5.135475158691406
82.0,84.110146,-2.1101455688476562
91.0,88.01053,2.989471435546875
106.0,101.5142,4.485801696777344
112.0,107.64497,4.3550262451171875
111.0,104.866165,6.1338348388671875
107.0,103.640526,3.3594741821289062
103.0,100.96366,2.0363388061523438
98.0,105.92163,-7.921630859375
94.0,107.621574,-13.621574401855469
91.0,109.26227,-18.26226806640625
91.0,110.951866,-19.951866149902344
92.0,111.16016,-19.16015625
93.0,103.1874,-10.187400817871094
92.0,103.614456,-11.614456176757812
93.0,102.90999,-9.909988403320312
98.0,112.67589,-14.675888061523438
106.0,117.3516,-11.351600646972656
109.0,114.63408,-5.6340789794921875
110.0,110.19431,-0.19431304931640625
115.0,100.81729,14.182708740234375
115.0,88.561295,26.438705444335938
110.0,77.14915,32.850852966308594
106.0,84.66378,21.336219787597656
106.0,86.781136,19.21886444091797
107.0,89.96241,17.03759002685547
97.0,88.15645,8.843551635742188
116.0,107.96817,8.031829833984375
121.0,114.94476,6.05523681640625
121.0,121.88849,-0.88848876953125
121.0,116.614975,4.3850250244140625
122.0,117.9397,4.060302734375
122.0,122.06877,-0.0687713623046875
120.0,124.11368,-4.113677978515625
117.0,119.29658,-2.2965774536132812
114.0,118.03407,-4.0340728759765625
111.0,112.674416,-1.6744155883789062
110.0,111.30085,-1.3008499145507812
110.0,114.60452,-4.604522705078125
111.0,108.96431,2.0356903076171875
118.0,118.59482,-0.594818115234375
128.0,126.87273,1.1272735595703125
130.0,119.573524,10.426475524902344
126.0,111.35525,14.644752502441406
126.0,95.90384,30.096160888671875
123.0,74.67995,48.32005310058594
118.0,72.10276,45.897239685058594
114.0,70.92701,43.07299041748047
113.0,69.53462,43.46537780761719
114.0,78.423256,35.576744079589844
79.0,90.32888,-11.328880310058594
107.0,122.46521,-15.4652099609375
113.0,125.85228,-12.852279663085938
109.0,123.334175,-14.334175109863281
108.0,112.8354,-4.8354034423828125
110.0,107.745895,2.2541046142578125
110.0,101.817245,8.182754516601562
108.0,101.37109,6.62890625
104.0,101.10451,2.8954925537109375
101.0,106.8502,-5.850196838378906
98.0,105.513985,-7.513984680175781
97.0,101.59615,-4.596153259277344
97.0,101.24685,-4.246849060058594
99.0,100.59578,-1.5957794189453125
108.0,121.08583,-13.085830688476562
122.0,128.35533,-6.3553314208984375
134.0,127.79772,6.202278137207031
128.0,114.534744,13.465255737304688
104.0,97.08274,6.917259216308594
90.0,90.07687,-0.076873779296875
84.0,87.26814,-3.2681427001953125
81.0,88.374214,-7.374214172363281
80.0,87.93064,-7.930641174316406
80.0,87.44234,-7.4423370361328125
73.0,90.56378,-17.56378173828125
107.0,112.530716,-5.5307159423828125
111.0,130.32082,-19.320816040039062
107.0,132.27135,-25.271347045898438
108.0,131.89136,-23.891357421875
112.0,119.341446,-7.3414459228515625
116.0,114.156456,1.8435440063476562
118.0,109.20515,8.794853210449219
118.0,106.527756,11.472244262695312
116.0,104.93598,11.064018249511719
109.0,104.76297,4.237030029296875
