actual,predicted,residual
123.0,125.9317652091481,-2.9317652091480966
118.0,122.95153399427844,-4.951533994278435
133.0,121.37170537968801,11.62829462031199
145.0,122.74030977320595,22.25969022679405
157.0,126.34127844381918,30.658721556180822
165.0,129.41704298000175,35.58295701999825
150.0,129.29092045288442,20.70907954711558
116.0,129.01346547932462,-13.013465479324623
106.0,121.1543146748664,-15.154314674866399
101.0,112.9254886371445,-11.925488637144497
96.0,104.24614444472265,-8.246144444722646
92.0,103.12651490811959,-11.126514908119589
89.0,103.28311410409859,-14.283114104098587
85.0,103.86808989221889,-18.86808989221889
85.0,108.25139061763277,-23.251390617632765
91.0,118.12421110060582,-27.12421110060582
98.0,121.95404439380664,-23.95404439380664
101.0,124.15558715691527,-23.155587156915274
106.0,122.69423136326004,-16.694231363260045
115.0,122.5195682822859,-7.519568282285903
127.0,120.5341789130503,6.465821086949703
134.0,119.87315793276929,14.126842067230712
132.0,120.11238382300604,11.887616176993959
123.0,117.68734027128552,5.312659728714479
109.0,117.09624354993379,-8.096243549933789
95.0,115.91084944726897,-20.910849447268973
89.0,114.3204616992729,-25.320461699272897
97.0,116.72635256773671,-19.72635256773671
124.0,120.835721438575,3.164278561424993
152.0,125.11332101325286,26.886678986747143
105.0,125.99776743746921,-20.997767437469207
83.0,120.78506389639078,-37.78506389639078
81.0,110.19856576143812,-29.198565761438118
79.0,101.9973038897501,-22.9973038897501
78.0,98.00708786983726,-20.007087869837264
77.0,96.80207248215662,-19.802072482156618
76.0,99.39331062102929,-23.393310621029286
73.0,98.26020727101377,-25.26020727101377
72.0,102.60985822358533,-30.609858223585334
80.0,110.03325663016503,-30.033256630165027
91.0,115.85943614314591,-24.859436143145913
99.0,120.01048874234242,-21.010488742342417
111.0,121.12969948086534,-10.12969948086534
125.0,121.60181780193062,3.398182198069378
137.0,121.93121956212221,15.068780437877791
142.0,120.21030863934601,21.78969136065399
141.0,119.4997441282267,21.500255871773305
139.0,116.73105838697215,22.26894161302785
139.0,113.21004840413109,25.789951595868914
138.0,113.91643568590611,24.08356431409389
138.0,112.70501857096998,25.294981429030017
151.0,115.61885490735452,35.38114509264548
157.0,120.18418348607035,36.81581651392965
165.0,126.96564867583065,38.03435132416935
134.0,127.53134854786494,6.468651452135063
87.0,123.17114999074455,-36.17114999074455
79.0,107.12421961602317,-28.12421961602317
81.0,100.40750103245536,-19.407501032455357
