feature,mean_abs_shap
pm25,3.267323367658756
pm25_roll_mean_168,1.7000351323629577
pm25_roll_mean_24,1.4917064664588826
pm25_roll_std_336,1.3799932147018783
co,1.3553518658805808
aqi_lag_24,1.2937968531311166
pm25_roll_mean_72,1.2230800979177683
month_cos,1.1794766989674452
interaction_pm25_wind_inverse,1.0744867809889243
co_roll_mean_24,0.9624113972642859
aqi_roll_min_24,0.919530897731114
pm10,0.9065326074027729
pm25_pm10_ratio,0.9060295171458513
aqi_roll_min_72,0.8518569276965073
aqi_lag_48,0.8483297945620079
hours_since_aqi_spike,0.8436873278430139
pm25_vs_72h_avg,0.8431940333744098
pm25_vs_24h_avg,0.8109061511772407
aqi_persistence_ratio,0.7361073121732266
temperature_roll_mean_24,0.7001357828808472
pressure,0.6900912496829202
so2_roll_mean_24,0.6391637051305965
consecutive_hours_above_150,0.6235640515137136
interaction_pm25_humidity,0.6014012861483835
aqi_zscore_72h,0.5759691293729898
pm25_roll_std_168,0.5587022298135963
pm25_roll_std_72,0.5555481921712283
aqi_lag_6,0.5387134940755572
aqi_change_6h,0.5169660461185835
wind_gusts_roll_max_24,0.4892216824781618
wind_dispersal,0.4626221455506766
wind_x,0.4390332154462693
aqi_recovery_rate,0.43493075204116205
month_sin,0.42570087626901815
wind_direction,0.4150485642758049
aqi_lag_336,0.38123840791355307
aqi_same_hour_30days_ago,0.3788389781559012
wind_speed_roll_mean_24,0.34272224602414736
aqi_roll_min_168,0.3243740979841869
wind_dir_sin,0.32227272769910986
so2,0.29651257760292665
aqi_roll_std_168,0.28158481439101896
aqi_lag_168,0.280450750729864
aqi_lag_72,0.2723700036031111
quarter,0.24993436576526776
aqi_roll_std_72,0.23191800074466337
o3,0.22188936691303393
temperature,0.21424488739832492
humidity_roll_mean_24,0.21319880671739055
pm25_change_24h,0.21137083420692812
pm25_roll_std_24h,0.20065006274304384
pm10_lag_24,0.19440489055550822
pm10_roll_mean_24,0.19311715186705528
pm25_diff_1h,0.1896864119908309
no2,0.18447415584186094
aqi_change_1h,0.18138254202566084
aqi_momentum_24_168,0.17150684760443163
pm10_roll_mean_72,0.17039502847283658
pressure_change_24h,0.16668574606361725
humidity,0.16502286945775219
pm10_diff_1h,0.15921001038953725
aqi_trend_ratio,0.1514186016244295
aqi_roll_std_24,0.1505960931320511
temp_humidity,0.14886244461140194
heat_dryness,0.1413885086009461
cloud_cover_roll_mean_24,0.1408427191705033
o3_roll_mean_24,0.13981961458763345
temperature_roll_std_24,0.13600614819995308
wind_speed_roll_std_24,0.13599121484812413
no2_roll_std_24,0.13351481723465425
aqi_diff_24_168,0.13035100255655446
wind_speed,0.12459563778582695
aqi_momentum_6_24,0.12221489771439858
pm25_roll_std_6,0.12171149919763406
weekday_sin,0.12166403387509642
pm10_change_24h,0.11750318915229482
temperature_change_24h,0.11554072768133977
aqi_volatility_ratio,0.1144789618922727
no2_o3_ratio,0.11050535992418366
pm10_roll_std_12h,0.10998248035174837
co_change_24h,0.10879596282530078
no2_change_24h,0.10771625005867892
pm25_roll_std_24,0.1034417631072523
aqi_lag_12,0.10173055960799722
so2_change_24h,0.1010857522516903
cloud_cover,0.09758232530298416
pm10_lag_6,0.0920429065420881
o3_change_24h,0.08681202551874309
pm10_lag_72,0.08285160654296585
cloud_cover_lag_1,0.0802458501389985
aqi_above_recent_q90,0.08014137386055413
humidity_lag_6,0.07992320127467771
pm10_roll_std_24,0.07987411807908923
o3_roll_std_24,0.07876164823524016
temperature_lag_6,0.07330477234271038
humidity_change_24h,0.0720611482837492
wind_speed_lag_6,0.0684027192158712
wind_speed_lag_24,0.06580358495577368
humidity_lag_24,0.06474487988474051
wind_dir_cos,0.06439179803867652
hour_cos,0.057034019254650105
wind_speed_change_24h,0.055302287264915685
rain_72h,0.04489582303508208
hour_sin,0.042738145003727634
weekday_cos,0.04243581796539653
is_weekend,0.03164658887797192
aqi_acceleration,0.022261231653037887
rain_24h,0.01733599184239373
dust_hours_72h,0.014548884998591888
is_rush_hour,0.007558797394397453
dust_event,0.0030049425444621932
precipitation,0.0006950936408395286
