feature,abs_coef
pm25,5.226766946380286
wind_dispersal,3.9108608599101435
wind_gusts_roll_max_24,3.5205181650377506
pm10,3.1789652561545156
aqi_roll_std_168,2.8785573339699857
wind_dir_sin,2.806154505513265
o3_roll_std_24,2.605216605589733
aqi_roll_max_168,2.52562498020564
humidity_roll_mean_24,2.4086813028345717
aqi_lag_24,2.347567284238596
doy_cos,2.2552287277758127
pm25_roll_mean_168,2.2484925019356385
aqi_roll_std_72,2.2331060423459044
aqi_lag_48,2.2164132135132504
so2_roll_mean_24,2.167023789791075
temperature_lag_6,2.157065445868914
aqi_lag_1,2.023376630919855
co_roll_mean_24,1.8695538419475741
spike_count_72h,1.840218944301414
month_cos,1.8334192122442934
aqi_roll_max_72,1.8087587153779263
pm10_lag_24,1.75662707557477
o3,1.7078807112283558
aqi_same_hour_30days_ago,1.692352648429828
pm25_lag_24,1.6691449804216996
aqi_lag_336,1.5005830493578929
aqi_lag_6,1.4528453651125866
pm25_roll_std_24,1.4197290871634827
pressure,1.4179753120362675
aqi_change_24h,1.4050308413272496
weekday_sin,1.3763926236724529
pm25_vs_24h_avg,1.3670131646207364
co,1.3658989647838737
wind_speed,1.3516140259643459
aqi_roll_min_72,1.3166515128020595
wind_direction,1.3142014723588908
aqi_lag_168,1.2687424242745944
no2_roll_std_24,1.2627678467491021
aqi_recovery_rate,1.2290022636910514
aqi_trend_ratio,1.1946273557368372
aqi_lag_12,1.1823799796710812
no2_change_24h,1.1699910951699457
humidity,1.1495576970710057
aqi_change_1h,1.1409439872486096
no2_roll_mean_24,1.136004145946913
wind_speed_roll_mean_24,1.1043528559557396
pm25_lag_72,1.0843718472757178
aqi_diff_24_168,1.0486898890009473
pm25_roll_mean_336,1.0443277609837371
temperature_change_24h,1.0267016840941956
wind_speed_change_24h,1.0132952637126769
month_sin,1.0114481925517076
pm25_change_24h,0.9973845570130685
consecutive_hours_above_150,0.9825493288473506
pm25_roll_std_336,0.9470935184299011
aqi_zscore_72h,0.9150018614225514
dust_event,0.912927112431446
pm25_pm10_ratio,0.9064435330741547
pm25_lag_12,0.8573793127834399
pm25_roll_mean_72,0.8302972672085005
pm25_lag_336,0.8212169687150517
wind_speed_lag_24,0.8197426855287712
no2_o3_ratio,0.7958361828486038
pm10_roll_mean_72,0.792209356709305
so2_change_24h,0.7550512363860902
aqi_trend_slope_6h,0.7467320176021617
temperature_roll_mean_24,0.7268985295432993
pm25_roll_std_72,0.7213110945189212
aqi_regime,0.7050878662849456
no2,0.7043670123035436
co_change_24h,0.7022714396671434
cloud_cover,0.6854270897776872
wind_dir_cos,0.6432375081585601
wind_speed_lag_6,0.6354040705540878
quarter,0.6099900599358586
aqi_persistence_ratio,0.6090832426389272
wind_y,0.5907293953307798
pm10_roll_std_24,0.5761432372759249
o3_change_24h,0.5587831179397387
pm25_lag_6,0.531180606704784
rain_72h,0.5128129461573013
temp_humidity,0.5030072518427949
aqi_change_6h,0.4878325105317929
dust_hours_72h,0.48327383269434604
cloud_cover_lag_1,0.4742329013837734
aqi_percentile_72,0.4691311348360437
cloud_cover_roll_mean_24,0.4668233564797721
hours_since_aqi_spike,0.4562454224603639
pm25_roll_mean_24,0.45172977452153495
pm10_lag_6,0.4414384130056487
heat_dryness,0.4317449053017952
is_weekend,0.4165480243673006
pm25_lag_168,0.3992525277848429
so2,0.39498480960882804
aqi_lag_72,0.3784697626590977
temperature,0.3506303698801841
humidity_lag_24,0.339748701792147
precipitation,0.3317329296338214
aqi_volatility_ratio,0.32948926893709396
hour_cos,0.3173368316401102
pm25_roll_std_168,0.3059105850818796
pm10_roll_mean_24,0.29459167961402716
aqi_roll_mean_48,0.2773594747353199
humidity_lag_6,0.2763405855666232
o3_roll_mean_24,0.25599715706201914
wind_gusts,0.22783793042890496
aqi_momentum_24_168,0.22317427512515112
wind_x,0.218608703334129
aqi_roll_min_24,0.2080031575441916
aqi_momentum_6_24,0.19474054398113258
pm25_vs_72h_avg,0.1790567784523971
temperature_roll_std_24,0.17166607640761306
aqi_roll_max_24,0.17129683227706963
pm25_roll_max_24,0.15166435497404449
pm10_lag_72,0.12844346786523697
pressure_change_24h,0.1164770216369478
is_rush_hour,0.11583297976195046
aqi_roll_std_24,0.09699500657154168
weekday_cos,0.09187068670798666
wind_speed_roll_std_24,0.08329722416615834
aqi_above_recent_q90,0.07896096810029854
aqi_acceleration,0.05566374660348056
pm25_lag_48,0.051279252279652236
rain_24h,0.0443545743225112
humidity_change_24h,0.04188386565757206
pm10_change_24h,0.04049673705735691
aqi_roll_min_168,0.030516782308225007
pm25_roll_std_6,0.010871526078789636
hour_sin,0.005142370066511535
