feature,importance
pm25,0.04970015642373732
pm25_lag_1,0.045321947608609366
aqi_lag_1,0.04287061187218364
aqi_lag_2,0.02696261413066406
pm25_lag_2,0.0226774811112388
aqi_regime,0.02263090987390854
aqi_roll_mean_6,0.01926928885248193
pm25_roll_mean_6,0.017882878485952904
aqi_ewm_24,0.017309290194779895
pm25_lag_3,0.017137405340494218
doy_cos,0.01693518824012895
pm25_roll_max_24,0.015407366174296343
month_cos,0.014536505095953566
pm25_roll_mean_24,0.01404899925016557
pm25_ewm_24,0.013822847073246235
aqi_roll_mean_24,0.013360520584832138
aqi_ewm_72,0.013164699967778902
aqi_lag_3,0.012807297889100702
aqi_roll_mean_48,0.012719691851922897
aqi_roll_max_24,0.01247084540497899
pm25_roll_mean_336,0.01096697126492133
doy_sin,0.010541299897732554
aqi_roll_mean_12,0.00980633515957377
aqi_roll_mean_336,0.009317946327335925
pm25_roll_mean_72,0.008946868173128513
aqi_roll_mean_72,0.007844897410619972
pm25_lag_24,0.007623801240249205
week_of_year,0.007549179782438495
pm25_roll_max_72,0.007506038049283462
aqi_roll_min_24,0.007497753955753079
wind_direction,0.0072686896094057325
wind_x,0.007263570773168694
aqi_roll_mean_168,0.007137772055418926
hours_since_aqi_spike,0.006929307440707583
pm25_roll_mean_168,0.006749927946768241
temperature_roll_mean_24,0.006739566579428521
pm25_roll_std_336,0.00659540364822887
co,0.006584878022681974
wind_speed_roll_std_24,0.006091435694824366
pressure_roll_mean_24,0.005926170484126916
aqi_lag_24,0.005919047887106703
humidity_roll_mean_24,0.00580939233669259
cloud_cover_roll_mean_24,0.005756468614362329
so2_roll_mean_24,0.005717032767512755
aqi_roll_min_72,0.005692439399427388
pm10_roll_mean_72,0.005607505567886173
aqi_roll_max_72,0.005598535584833427
wind_gusts_roll_max_24,0.005437288895016037
aqi_same_hour_yesterday,0.005312673714553397
co_roll_mean_24,0.005283089913909241
pm25_roll_std_72,0.005160653599966587
aqi_roll_std_168,0.005146186729729071
aqi_roll_max_168,0.0051240036676012445
pm25_roll_std_168,0.0051061251735990305
o3_roll_mean_24,0.004923068457064979
pressure,0.004919484025516785
aqi_recovery_rate,0.004911515586751857
pm10_roll_mean_24,0.004908034865570312
pressure_lag_1,0.004663207835994155
no2_roll_std_24,0.004648401388640045
pm10,0.004644960224703088
wind_speed_roll_mean_24,0.004619613011897539
temperature_lag_24,0.0046055287014830195
no2_roll_mean_24,0.004574941161526901
wind_gusts_roll_mean_24,0.00454765887850372
o3_roll_std_24,0.0045387041155168185
wind_dispersal,0.004523422354533054
pm25_vs_24h_avg,0.004509072627959398
pm25_roll_std_24,0.004496698465086301
pm25_lag_336,0.004478028538673028
pm25_pm10_ratio,0.004449758044790467
pressure_change_24h,0.004444625847897771
aqi_roll_std_72,0.004438520135060873
temperature_roll_std_24,0.00438114016868304
wind_dir_sin,0.004327465071916631
pm25_fraction,0.004293525439922002
pm10_roll_std_24,0.0042374189648936795
aqi_lag_336,0.0040431466604512
pm25_lag_48,0.00398808222700335
pm25_vs_72h_avg,0.003975160693914277
aqi_change_6h,0.0039507815517720035
temperature,0.003902508950521007
aqi_roll_std_24,0.0039010282416417088
aqi_same_day_last_year,0.00388901651237845
aqi_same_hour_2weeks_ago,0.003864116541421388
pm25_trend_ratio,0.0038080102907851027
