actual,predicted,residual
109.0,108.62101154361743,0.3789884563825723
95.0,103.01366418683074,-8.013664186830738
89.0,99.74330192447808,-10.743301924478075
97.0,99.39552598817222,-2.395525988172224
124.0,104.27482745741825,19.725172542581745
152.0,110.17110894619977,41.828891053800234
105.0,111.35356763139609,-6.353567631396089
83.0,104.75538610627332,-21.75538610627332
81.0,98.47380372757551,-17.473803727575515
79.0,92.68264420636149,-13.682644206361488
78.0,88.52772902243963,-10.52772902243963
77.0,89.56519857453749,-12.56519857453749
76.0,89.91755192423025,-13.917551924230253
73.0,89.0835896194728,-16.083589619472804
72.0,91.42179469195197,-19.421794691951973
80.0,103.40214241434771,-23.402142414347708
91.0,113.05070802301942,-22.050708023019425
99.0,113.67989499423646,-14.679894994236463
111.0,114.81813786661682,-3.818137866616823
125.0,115.48416918570531,9.515830814294688
137.0,116.21991609568647,20.78008390431353
142.0,115.86386068399094,26.136139316009064
141.0,112.3215981611213,28.6784018388787
139.0,109.13643827215775,29.863561727842253
139.0,105.17753307371595,33.82246692628405
138.0,101.19270074739374,36.807299252606256
138.0,100.07693941046571,37.92306058953429
151.0,101.229454145444,49.770545854556005
157.0,108.25799014771073,48.74200985228927
165.0,117.83422646834771,47.16577353165229
134.0,116.89105033119728,17.108949668802722
87.0,106.21476378959169,-19.214763789591686
79.0,96.1582023778837,-17.158202377883697
81.0,88.07191146434577,-7.071911464345774
83.0,86.26557414505857,-3.265574145058565
83.0,85.3309906709174,-2.3309906709174015
83.0,84.14429766805587,-1.14429766805587
81.0,84.26805461258806,-3.2680546125880596
74.0,89.73752555760682,-15.737525557606816
82.0,107.40241427167162,-25.402414271671617
91.0,116.7748209989231,-25.774820998923104
95.0,118.65721685338193,-23.657216853381925
102.0,119.42350513274013,-17.423505132740132
114.0,120.92305499915352,-6.923054999153521
127.0,121.34892691639703,5.651073083602967
134.0,119.43150009784912,14.568499902150876
128.0,116.4050155665626,11.594984433437403
117.0,114.45043699364098,2.5495630063590227
100.0,109.88191706833756,-9.881917068337557
88.0,105.76217522866607,-17.762175228666067
92.0,105.06216986485353,-13.06216986485353
96.0,108.32133006621731,-12.321330066217314
118.0,118.61084677281362,-0.6108467728136162
135.0,128.06157283150304,6.938427168496958
95.0,122.69211010237981,-27.692110102379814
73.0,112.6913945458646,-39.6913945458646
72.0,99.33052533376139,-27.330525333761386
75.0,91.26484916034647,-16.264849160346472
76.0,88.58367779627766,-12.583677796277655
78.0,86.86622464522002,-8.866224645220015
79.0,87.35691116967425,-8.356911169674248
78.0,87.54483336230047,-9.544833362300466
76.0,93.39233733581605,-17.392337335816052
82.0,100.78349994513235,-18.78349994513235
81.0,106.22434240621881,-25.22434240621881
81.0,109.63340175624687,-28.63340175624687
82.0,109.728854684701,-27.728854684701005
84.0,112.1761712415466,-28.176171241546598
90.0,114.78656670037151,-24.78656670037151
95.0,115.90472556704403,-20.904725567044025
92.0,112.23826928840546,-20.238269288405462
84.0,108.1994099542615,-24.199409954261498
76.0,101.00609257730581,-25.006092577305807
71.0,94.29770825047092,-23.29770825047092
76.0,92.23786569842993,-16.23786569842993
80.0,94.85992176535703,-14.85992176535703
97.0,106.40350532388206,-9.403505323882058
108.0,120.72029911324748,-12.720299113247478
94.0,118.58542716465988,-24.585427164659876
74.0,94.61693894579004,-20.61693894579004
72.0,88.4605670064043,-16.460567006404304
76.0,86.40059780988237,-10.40059780988237
77.0,86.35443986213409,-9.354439862134086
78.0,85.58119764843758,-7.5811976484375805
78.0,84.70355163530473,-6.703551635304734
79.0,85.00396415327349,-6.003964153273486
76.0,86.58586776984639,-10.585867769846388
91.0,91.08325897764539,-0.08325897764538581
89.0,97.30783470400993,-8.307834704009935
84.0,101.80435525695742,-17.80435525695742
82.0,103.83865109212212,-21.83865109212212
84.0,106.74110225347637,-22.74110225347637
88.0,111.48329871643313,-23.483298716433126
92.0,114.7600533720985,-22.760053372098497
93.0,111.93162213093714,-18.931622130937143
92.0,111.49632471340362,-19.496324713403624
90.0,109.00703252340175,-19.007032523401747
87.0,106.23032946007834,-19.230329460078337
90.0,106.72674026153221,-16.726740261532214
92.0,110.24667776115069,-18.246677761150693
110.0,122.88885058773889,-12.888850587738887
138.0,137.06087337406387,0.939126625936126
110.0,119.77165473423399,-9.77165473423399
79.0,104.95575431423715,-25.955754314237154
69.0,91.80141724318989,-22.80141724318989
64.0,91.1070323708629,-27.107032370862896
63.0,91.83020917042644,-28.830209170426443
64.0,90.60848948190932,-26.608489481909317
64.0,90.51143329650085,-26.511433296500854
65.0,90.45758288704359,-25.457582887043586
61.0,91.14075405435905,-30.14075405435905
82.0,94.77425417529825,-12.774254175298253
82.0,101.00598317404827,-19.005983174048268
78.0,104.8737513909019,-26.8737513909019
78.0,107.22248419219797,-29.222484192197967
83.0,110.19570163334991,-27.195701633349913
92.0,114.04624444844987,-22.04624444844987
99.0,120.35522200296904,-21.355222002969043
97.0,118.41077225700873,-21.41077225700873
92.0,112.65380179696012,-20.653801796960124
86.0,107.15862487018805,-21.15862487018805
81.0,105.00778269568285,-24.00778269568285
88.0,105.12697625240072,-17.126976252400723
89.0,108.5027483217284,-19.502748321728404
108.0,118.4116611733852,-10.411661173385198
139.0,129.48839421778263,9.511605782217373
117.0,118.76246096146433,-1.7624609614643276
78.0,94.38226615978064,-16.38226615978064
66.0,91.55307853237878,-25.553078532378777
64.0,93.83098760414842,-29.83098760414842
65.0,93.6615251567466,-28.661525156746606
68.0,91.3336569222335,-23.3336569222335
70.0,90.16903142814574,-20.169031428145743
71.0,87.48029905592652,-16.480299055926523
66.0,86.90926677373163,-20.90926677373163
91.0,92.72538805921407,-1.725388059214069
89.0,99.39837708783057,-10.398377087830568
88.0,101.11400201518519,-13.114002015185193
91.0,104.01792921904787,-13.017929219047872
99.0,108.4727060089256,-9.472706008925599
117.0,111.47739158675255,5.522608413247454
119.0,116.46172986198559,2.5382701380144113
104.0,114.17749308361104,-10.17749308361104
92.0,111.80225206676049,-19.802252066760488
84.0,106.66531306991158,-22.665313069911576
77.0,104.00733387501893,-27.00733387501893
78.0,102.91438323128637,-24.914383231286365
76.0,107.15582766947314,-31.15582766947314
86.0,116.93760334119526,-30.937603341195256
98.0,128.28501867107778,-30.28501867107778
102.0,113.31534780933711,-11.315347809337112
79.0,95.81132407723366,-16.811324077233664
64.0,87.19294706951392,-23.19294706951392
59.0,89.16039673266349,-30.160396732663486
61.0,91.60502148639381,-30.60502148639381
63.0,92.21780318249809,-29.217803182498088
64.0,92.27014620588923,-28.270146205889233
64.0,91.16054998714101,-27.16054998714101
58.0,91.83813155929712,-33.838131559297125
95.0,95.70065510766457,-0.7006551076645735
123.0,105.69235263789123,17.307647362108767
133.0,106.25910158598775,26.74089841401225
141.0,106.91146266459573,34.08853733540427
146.0,110.0323363591922,35.9676636408078
147.0,114.89733344032592,32.10266655967408
139.0,118.31244790239514,20.687552097604865
125.0,117.52573924507848,7.4742607549215165
113.0,113.9385440087758,-0.938544008775807
101.0,109.79531223224055,-8.795312232240548
89.0,106.44492298611105,-17.444922986111052
88.0,106.40160962417268,-18.40160962417268
83.0,110.60806146572418,-27.608061465724177
95.0,122.08154350086568,-27.081543500865678
118.0,132.74976228350528,-14.749762283505277
112.0,125.59406623294825,-13.59406623294825
86.0,104.2685818435985,-18.268581843598497
66.0,93.42063200579072,-27.420632005790722
65.0,91.94907061333906,-26.94907061333906
69.0,92.37195892605244,-23.371958926052443
73.0,93.22275561465862,-20.222755614658624
77.0,94.58705817544174,-17.58705817544174
81.0,92.84561818652303,-11.845618186523026
82.0,90.75640182013143,-8.75640182013143
124.0,95.12384106336846,28.87615893663154
124.0,103.65172048428526,20.348279515714736
118.0,102.37250766533911,15.627492334660886
115.0,101.35954469383093,13.640455306169073
