feature,native_weight,importance_gain
temperature,0.00028076873,382.0630798339844
humidity,0.00078237575,1064.6373291015625
pressure,0.0010603942,1442.9578857421875
wind_speed,0.00053677557,730.4307861328125
wind_direction,0.0023380213,3181.52099609375
wind_gusts,0.00075805245,1031.538818359375
precipitation,0.0005564121,757.1516723632812
cloud_cover,0.0013189064,1794.73486328125
pm25,0.15327764,208576.375
pm10,0.0020842087,2836.13916015625
co,0.003318607,4515.87744140625
no2,0.0025024584,3405.28271484375
so2,0.00285597,3886.33251953125
o3,0.0035432952,4821.62744140625
hour_sin,0.0010587844,1440.7674560546875
hour_cos,0.0016477113,2242.164306640625
month_sin,0.0027065477,3683.00244140625
month_cos,0.07869928,107092.015625
weekday_sin,0.0031794864,4326.5654296875
weekday_cos,0.003526614,4798.92822265625
week_of_year,0.007635269,10389.8828125
quarter,0.0031893658,4340.00927734375
doy_sin,0.0066941166,9109.1865234375
doy_cos,0.016443215,22375.517578125
is_weekend,0.0043380735,5903.14208984375
is_rush_hour,0.0006517357,886.8656616210938
wind_dir_sin,0.0019057518,2593.29931640625
wind_dir_cos,0.0016633043,2263.3828125
wind_x,0.004663726,6346.28173828125
wind_y,0.0015397072,2095.195068359375
aqi_lag_1,0.022159407,30153.966796875
aqi_lag_2,0.0011947319,1625.7613525390625
aqi_lag_3,0.0027048134,3680.642578125
aqi_lag_6,0.0010975517,1493.5208740234375
aqi_lag_7,0.0011936156,1624.2423095703125
aqi_lag_12,0.0009356584,1273.2205810546875
aqi_lag_24,0.0017763568,2417.221923828125
aqi_lag_48,0.001995086,2714.863037109375
aqi_lag_72,0.001735652,2361.831787109375
aqi_lag_168,0.0021511756,2927.265869140625
aqi_lag_336,0.0039540655,5380.59326171875
aqi_same_hour_yesterday,0.0055571916,7562.08740234375
aqi_same_hour_last_week,0.002303937,3135.139892578125
aqi_same_hour_2weeks_ago,0.0030225986,4113.07666015625
aqi_same_hour_3days_ago,0.0013823876,1881.118408203125
aqi_same_hour_30days_ago,0.0028271645,3847.134765625
aqi_same_day_last_year,0.0019856414,2702.01123046875
pm25_lag_1,0.19770986,269038.625
pm25_lag_2,0.00082196447,1118.5086669921875
pm25_lag_3,0.0064289765,8748.390625
pm25_lag_6,0.0029379225,3997.851318359375
pm25_lag_12,0.0016007862,2178.309814453125
pm25_lag_24,0.007303063,9937.8251953125
pm25_lag_48,0.0031640432,4305.55078125
pm25_lag_72,0.0027233649,3705.88671875
pm25_lag_168,0.0017401524,2367.955810546875
pm25_lag_336,0.005527219,7521.30126953125
pm25_roll_mean_6,0.0012214548,1662.125244140625
pm25_roll_std_6,0.0007823922,1064.6597900390625
pm25_roll_mean_24,0.002878061,3916.3935546875
pm25_roll_std_24,0.0017544877,2387.463134765625
pm25_roll_mean_72,0.0024230718,3297.255615234375
pm25_roll_std_72,0.0043612025,5934.615234375
pm25_roll_mean_168,0.0038216354,5200.3857421875
pm25_roll_std_168,0.003657902,4977.58154296875
pm25_roll_mean_336,0.009790303,13322.3994140625
pm25_roll_std_336,0.0069094715,9402.236328125
pm25_roll_max_24,0.004032635,5487.5087890625
pm25_roll_max_72,0.011277041,15345.515625
pm25_ewm_24,0.0048211133,6560.4501953125
pm25_change_24h,0.003650645,4967.70654296875
pm25_vs_24h_avg,0.0016886946,2297.933349609375
pm25_vs_72h_avg,0.0015340799,2087.53759765625
pm10_lag_1,0.0011498529,1564.6910400390625
pm10_lag_6,0.0021168974,2880.62109375
pm10_lag_24,0.0026092066,3550.54296875
pm10_lag_72,0.0025974235,3534.509033203125
pm10_roll_mean_24,0.0044857785,6104.13525390625
pm10_roll_mean_72,0.003962018,5391.4150390625
pm10_roll_std_24,0.0034620515,4711.0732421875
pm10_change_24h,0.003732345,5078.8818359375
dust_event,0.0,0.0
aqi_roll_mean_6,0.0022831354,3106.83349609375
aqi_roll_mean_12,0.002040844,2777.12939453125
aqi_roll_mean_24,0.0048105195,6546.03466796875
aqi_roll_mean_48,0.0067592585,9197.830078125
aqi_roll_mean_72,0.0037672753,5126.4140625
aqi_roll_mean_168,0.0051663504,7030.24072265625
aqi_roll_mean_336,0.008658738,11782.59375
aqi_roll_std_24,0.0022623884,3078.6015625
aqi_roll_max_24,0.0031659028,4308.08154296875
aqi_roll_min_24,0.009102896,12386.9931640625
aqi_roll_std_72,0.0032368775,4404.662109375
aqi_roll_max_72,0.01344955,18301.810546875
aqi_roll_min_72,0.011223557,15272.736328125
aqi_roll_std_168,0.0037732217,5134.505859375
aqi_roll_max_168,0.0045267106,6159.83447265625
aqi_roll_min_168,0.0051629827,7025.65771484375
aqi_ewm_24,0.003196176,4349.2763671875
aqi_ewm_72,0.0034979635,4759.94140625
aqi_trend_ratio,0.0027039943,3679.52783203125
pm25_trend_ratio,0.0030763196,4186.1787109375
aqi_momentum_6_24,0.0014944245,2033.5755615234375
