feature,importance
doy_cos,0.03952467997983969
month_cos,0.032883125841297184
aqi_roll_mean_336,0.028208280848625936
pm25_roll_mean_336,0.026578984216092668
doy_sin,0.023072990833646768
aqi_roll_mean_168,0.021645025960840333
pm25_roll_mean_168,0.019118794392363657
pressure_roll_mean_24,0.017650782588523345
co_roll_mean_24,0.017382243374813144
temperature_roll_mean_24,0.015902771395079306
wind_gusts_roll_max_24,0.015579835516294651
pm25,0.015092307849159891
co,0.014776808468224337
pm25_roll_std_336,0.01454477189223782
week_of_year,0.014531287860196815
hours_since_aqi_spike,0.013641401812254098
pm25_fraction,0.013608789358621845
pressure,0.013498082559651861
aqi_ewm_72,0.01086884503353331
pm25_pm10_ratio,0.010860099275279683
aqi_roll_max_72,0.010475264456693483
pm25_roll_max_72,0.010449068686425183
pm10_roll_mean_72,0.010340241806725176
pm25_roll_std_168,0.010244730378007858
aqi_lag_1,0.010094231185785639
pm25_lag_1,0.009944479047154653
aqi_roll_max_168,0.009901941600862538
cloud_cover_roll_mean_24,0.009727877731499723
aqi_roll_mean_72,0.009727167564913857
pm25_roll_max_24,0.009671748157534984
pressure_lag_1,0.009662964838779953
aqi_roll_std_168,0.009614899428355557
wind_gusts_roll_mean_24,0.009122384728826028
aqi_roll_min_168,0.008974671507488494
month_sin,0.008946047571913524
humidity_roll_mean_24,0.00824589158381923
so2_roll_mean_24,0.008216300523190863
wind_speed_roll_mean_24,0.008196082060965691
aqi_roll_max_24,0.007800420430064405
o3_roll_mean_24,0.007618333079647268
pm25_roll_mean_72,0.007456693163311116
pm25_roll_std_72,0.007284251392190168
aqi_roll_mean_48,0.007263510584043751
no2_roll_mean_24,0.00694051908903695
no2_roll_std_24,0.006831623553324471
temperature_roll_std_24,0.0066726579483837225
aqi_roll_min_72,0.006373077217180203
aqi_roll_std_72,0.006110234840089343
wind_direction,0.0060240442114749245
o3_roll_std_24,0.006023124132720373
pm10_roll_mean_24,0.005834595574118231
temperature,0.005781326490678845
wind_speed_roll_std_24,0.0057785966020519695
temperature_lag_1,0.005775913552710872
temperature_lag_24,0.0056080201834829094
aqi_roll_mean_24,0.0055133628847542585
pm25_lag_336,0.005409425156507559
pm10_roll_std_24,0.005347232469590941
aqi_lag_2,0.005202529438719385
aqi_ewm_24,0.005151026259087376
no2,0.005140540334088619
aqi_same_hour_2weeks_ago,0.005056600106466297
aqi_same_hour_30days_ago,0.005054620173767677
aqi_roll_min_24,0.004975836697851021
pm25_roll_mean_24,0.004959032975528553
pm25_ewm_24,0.004914391816049174
o3,0.004874986897121354
pm25_lag_168,0.0048169577301588355
aqi_lag_336,0.004637023324600733
pm25_lag_48,0.00458400003715981
