feature,mean_abs_shap
pm25,2.2875465713860663
month_cos,2.0487111673274487
pm25_roll_mean_168,1.8468862276257167
pm25_roll_std_336,1.7403446875025699
co,1.715643665495638
pm25_pm10_ratio,1.4181650835012876
pm25_roll_mean_24,1.2870019901465988
aqi_lag_24,1.215513574810334
pm25_roll_mean_72,1.0756238651841457
temperature_roll_mean_24,1.0573276556634092
co_roll_mean_24,0.9711302913548909
so2_roll_mean_24,0.9284289617658255
wind_gusts_roll_max_24,0.8635826858829372
hours_since_aqi_spike,0.8551545189768271
pressure,0.8034633647923152
aqi_roll_min_24,0.7436613810023199
month_sin,0.7132475684029451
pm10,0.6777907460156465
aqi_lag_72,0.670354451007236
aqi_persistence_ratio,0.6541963348728669
pm25_vs_72h_avg,0.64402470652664
pm25_roll_std_168,0.6358906250051872
interaction_pm25_wind_inverse,0.5863973482839087
pm25_roll_std_72,0.5081072674328803
pm25_vs_24h_avg,0.4829049153124011
aqi_zscore_72h,0.4718392000471356
aqi_lag_336,0.471515707160061
quarter,0.4618621227761458
interaction_pm25_humidity,0.4517872085453464
aqi_lag_48,0.4503476958660866
aqi_roll_min_72,0.44642912861350825
aqi_recovery_rate,0.44606561319607074
so2,0.4438177262245953
wind_speed_roll_mean_24,0.4168195186089095
aqi_change_6h,0.3974784166671987
aqi_lag_168,0.38064205956990743
aqi_same_hour_30days_ago,0.380035149984683
aqi_roll_std_168,0.3774241849266826
humidity_roll_mean_24,0.32395699532911265
aqi_roll_std_72,0.29452356133201196
aqi_roll_min_168,0.2901828284150322
pm10_lag_72,0.2773628148007444
o3_roll_mean_24,0.2742032032265435
cloud_cover_roll_mean_24,0.2702819039772785
pm10_roll_mean_72,0.24074584803033797
aqi_trend_ratio,0.2362597408285292
no2,0.23475728204773275
no2_roll_std_24,0.22761556362816132
temperature,0.22557359565750232
pm10_lag_24,0.2122747152922756
o3,0.2119658183845748
wind_x,0.20983954697027607
wind_direction,0.20153485937363128
wind_dispersal,0.1875540143540231
wind_dir_sin,0.17883110390827
consecutive_hours_above_150,0.1759437099588822
pm25_roll_std_24h,0.17556984523603603
pressure_change_24h,0.16990028715695638
no2_o3_ratio,0.1634853840860232
weekday_sin,0.1574543447298145
o3_roll_std_24,0.15396446462836524
aqi_lag_6,0.15311167361748243
aqi_momentum_24_168,0.15120201665916408
pm10_roll_mean_24,0.14782855778077236
temperature_lag_6,0.13616291226553212
no2_change_24h,0.13225376071957423
pm25_change_24h,0.12141990810049284
temperature_roll_std_24,0.12110901763639433
pm10_roll_std_24,0.12089956816736615
wind_speed_roll_std_24,0.11806714174823943
so2_change_24h,0.11755244120335716
humidity_lag_24,0.11631694087271545
o3_change_24h,0.11598392929181765
humidity,0.11215082203524096
pm25_diff_1h,0.11199599882594664
aqi_change_1h,0.10642450646707749
co_change_24h,0.10571765876394282
wind_speed,0.10510601398972053
pm25_roll_std_24,0.10330712953132376
heat_dryness,0.0990466484590316
humidity_lag_6,0.09529995961420151
temp_humidity,0.09371118329992174
aqi_roll_std_24,0.09279454162779394
aqi_volatility_ratio,0.09034334438322111
pm10_diff_1h,0.08935305441848046
aqi_diff_24_168,0.08722399340514114
aqi_lag_12,0.08537262945674665
hour_cos,0.08416870710989617
rain_72h,0.08176819304531285
weekday_cos,0.07906071309034289
temperature_change_24h,0.07586867708238536
pm10_change_24h,0.0747059477419385
wind_speed_change_24h,0.073598384276868
wind_speed_lag_24,0.07103889208353656
humidity_change_24h,0.070855557322287
pm10_lag_6,0.0675047381198914
wind_dir_cos,0.06419996955296002
aqi_momentum_6_24,0.06323358692383053
wind_speed_lag_6,0.062318058925897035
pm25_roll_std_6,0.062228141340485814
pm10_roll_std_12h,0.05951860470625115
aqi_above_recent_q90,0.04912324314920036
cloud_cover,0.04457182564528972
cloud_cover_lag_1,0.044290008392904624
hour_sin,0.041798346045802015
is_weekend,0.03627705009365644
aqi_acceleration,0.020098848244909713
rain_24h,0.017136865980531085
dust_hours_72h,0.014143121475377798
is_rush_hour,0.009762241362733865
dust_event,0.007746552871107932
precipitation,0.0002212844147130308
