feature,mean_abs_shap
pm25_roll_mean_336,6.7865334
doy_cos,4.6351147
pm25_roll_std_336,3.3561065
wind_gusts_roll_max_24,2.5293717
pm25,2.3230617
co,2.140429
month_cos,2.0853038
cloud_cover_roll_mean_24,1.8911933
pm25_pm10_ratio,1.6212409
month_sin,1.2995998
temperature_roll_mean_24,1.1845292
wind_speed_roll_mean_24,1.0189401
aqi_roll_min_168,1.0071737
pm25_roll_mean_168,0.9863552
humidity_roll_mean_24,0.96456146
pm25_lag_48,0.91003555
aqi_roll_max_72,0.89239943
no2,0.87042433
hours_since_aqi_spike,0.85262525
aqi_change_6h,0.799514
pm10_roll_mean_72,0.76715696
o3_roll_mean_24,0.75709635
pm25_roll_std_168,0.73971194
pm25_lag_72,0.6637543
pm10_lag_72,0.60132474
aqi_roll_std_168,0.5956341
hour_sin,0.5918601
no2_o3_ratio,0.5456429
o3,0.53796786
aqi_same_hour_30days_ago,0.52634805
hour_cos,0.5261029
wind_speed_roll_std_24,0.52497303
so2_roll_mean_24,0.51521075
quarter,0.5052389
pm25_lag_168,0.4955759
aqi_roll_max_168,0.4939436
pressure_change_24h,0.4753493
pm25_lag_336,0.4698346
aqi_roll_min_72,0.42909986
no2_roll_std_24,0.42722958
aqi_roll_std_72,0.40362683
no2_change_24h,0.39123857
o3_roll_std_24,0.378537
aqi_lag_72,0.37800625
pm10,0.36868724
aqi_lag_336,0.3653803
pm25_roll_std_72,0.35518214
pm10_roll_mean_24,0.35459656
pressure,0.33954784
aqi_lag_1,0.32964173
aqi_lag_48,0.32949343
rain_72h,0.3176083
co_roll_mean_24,0.30428928
temperature,0.30129376
pm25_roll_mean_72,0.29185334
no2_roll_mean_24,0.27841353
aqi_roll_mean_48,0.27812082
spike_count_72h,0.27217028
pm10_roll_std_24,0.25436977
aqi_roll_min_24,0.2537911
so2_change_24h,0.24880882
o3_change_24h,0.23472485
weekday_sin,0.22415468
pm25_vs_72h_avg,0.21374348
weekday_cos,0.21112114
aqi_momentum_24_168,0.20949915
aqi_trend_ratio,0.19801787
pm10_lag_6,0.19217674
aqi_percentile_72,0.18763216
aqi_persistence_ratio,0.18666929
temperature_roll_std_24,0.17969127
pm25_roll_mean_24,0.17630665
wind_direction,0.17182323
aqi_change_1h,0.16942032
heat_dryness,0.1596133
aqi_lag_168,0.15916528
humidity,0.15835173
humidity_lag_24,0.1549632
pm25_roll_max_24,0.15382208
humidity_change_24h,0.1526283
aqi_volatility_ratio,0.1509667
pm25_lag_24,0.14433831
aqi_diff_24_168,0.1441172
co_change_24h,0.14287372
wind_dispersal,0.13967972
aqi_lag_24,0.12898284
wind_speed,0.12664078
wind_speed_lag_6,0.12577876
wind_speed_lag_24,0.12085416
pm10_lag_24,0.117850035
pm25_lag_6,0.113075316
wind_speed_change_24h,0.1110837
wind_gusts,0.10799584
humidity_lag_6,0.10574838
aqi_zscore_72h,0.10375846
pm25_roll_std_24,0.10339024
aqi_trend_slope_6h,0.09968356
aqi_roll_std_24,0.09646798
wind_dir_cos,0.092078015
wind_x,0.09150736
temp_humidity,0.087522924
pm25_vs_24h_avg,0.08268676
temperature_lag_6,0.082646236
so2,0.08194958
aqi_recovery_rate,0.081582725
aqi_lag_6,0.08116113
wind_y,0.080476634
temperature_change_24h,0.07525947
pm25_change_24h,0.073393576
cloud_cover_lag_1,0.07338068
pm10_change_24h,0.07240734
cloud_cover,0.07184137
aqi_roll_max_24,0.07105799
aqi_change_24h,0.07082343
aqi_acceleration,0.06797688
aqi_lag_12,0.06455669
is_rush_hour,0.062247735
wind_dir_sin,0.058789607
aqi_momentum_6_24,0.058338095
pm25_lag_12,0.048510462
pm25_roll_std_6,0.047141995
rain_24h,0.046665765
dust_hours_72h,0.026541
consecutive_hours_above_150,0.023477701
aqi_above_recent_q90,0.0076986062
is_weekend,0.006996947
aqi_regime,0.0044830237
precipitation,0.0012979578
dust_event,0.0
