feature,importance
doy_cos,0.10073680421583087
aqi_roll_mean_168,0.07045209423205244
pm25,0.06763330611725316
pm25_lag_1,0.04812106798663954
aqi_lag_1,0.04415549587185855
aqi_ewm_72,0.0392667829870335
doy_sin,0.03913734649742617
month_cos,0.038307021615523705
temperature_roll_mean_24,0.03714649126056172
pressure_roll_mean_24,0.03536308494634975
humidity_roll_mean_24,0.03447452097410973
pm25_roll_max_72,0.032857284637483
so2_roll_mean_24,0.030665872868726927
pm25_roll_mean_72,0.028837297369547897
aqi_roll_max_72,0.027084059196910575
pm25_ewm_24,0.02701741264292834
pm25_fraction,0.02546134988977122
pm25_lag_2,0.025449963891640323
aqi_ewm_24,0.025221949794297944
hours_since_aqi_spike,0.025037428649873794
pm25_roll_max_24,0.02392542293812653
pm25_roll_mean_24,0.0230903539630351
aqi_roll_mean_48,0.022514153406793275
pm25_roll_median_72,0.021597498364297304
aqi_roll_mean_72,0.02150895661554078
aqi_roll_mean_24,0.020766976396467598
pressure_lag_1,0.01832300870612657
aqi_roll_max_24,0.017455343514843336
aqi_lag_2,0.016588772366615386
aqi_roll_mean_6,0.01180287808233515
