feature,mean_abs_shap
hours_since_aqi_spike,23.731514
wind_gusts_roll_max_24,3.5759342
doy_cos,2.6236339
month_cos,2.1759658
pm25_roll_std_336,1.6818519
pm25_roll_mean_336,1.0207926
aqi_roll_max_72,0.9150186
pm25,0.8843309
pm25_roll_max_72,0.8834668
wind_gusts_roll_mean_24,0.8512675
doy_sin,0.7499969
o3_roll_mean_24,0.6757071
so2,0.5198138
so2_roll_mean_24,0.4784405
aqi_roll_mean_336,0.46062216
co,0.4559466
cloud_cover_roll_mean_24,0.38054705
wind_speed_roll_mean_24,0.3798245
aqi_roll_min_168,0.29453763
pm25_roll_std_168,0.2925454
no2_o3_ratio,0.27343553
no2,0.2732481
temperature_roll_mean_24,0.2584668
humidity_lag_24,0.25227046
pm25_lag_24,0.24482122
temperature_lag_24,0.23955882
rain_72h,0.23798536
aqi_diff_24_168,0.22609992
pm25_pm10_ratio,0.21959712
pm10_roll_mean_72,0.21669349
aqi_same_hour_30days_ago,0.21599618
temperature_roll_std_24,0.20263578
pm25_lag_336,0.1857269
wind_dir_sin,0.184359
humidity_lag_1,0.18303886
no2_roll_std_24,0.17715324
aqi_roll_min_72,0.17136364
pm10_roll_std_24,0.16015612
pm25_roll_max_24,0.1539042
pressure,0.15250145
pm25_roll_mean_72,0.14498948
no2_roll_mean_24,0.13569552
co_roll_mean_24,0.12878537
o3,0.12655932
pressure_change_24h,0.1259982
temperature,0.110488005
humidity,0.10604221
pm10,0.10400857
week_of_year,0.09887942
pm25_lag_168,0.09409104
precipitation,0.09187546
humidity_roll_mean_24,0.088463075
aqi_roll_std_168,0.08254051
aqi_lag_1,0.08111051
pm25_roll_mean_168,0.07938047
aqi_persistence_ratio,0.074163556
weekday_cos,0.07368173
temperature_lag_1,0.0696156
pm25_vs_72h_avg,0.069403045
pm25_roll_std_72,0.06930468
weekday_sin,0.06785956
pm25_lag_48,0.06537083
hour_sin,0.06514671
so2_change_24h,0.06305049
aqi_roll_std_72,0.061854262
month_sin,0.061118674
aqi_roll_max_168,0.060588486
aqi_lag_48,0.05978401
aqi_roll_mean_168,0.05778327
pm25_roll_mean_24,0.05712743
o3_change_24h,0.0569476
aqi_same_day_last_year,0.04943209
wind_direction,0.048932966
o3_roll_std_24,0.04792605
aqi_ewm_72,0.047412418
aqi_lag_336,0.047049414
wind_gusts,0.04607307
temp_humidity,0.04556174
wind_x,0.04291037
aqi_lag_72,0.04160014
aqi_roll_max_24,0.041259162
pm10_lag_1,0.040027637
pm25_lag_12,0.040023185
wind_speed_roll_std_24,0.038883794
pm25_lag_1,0.038368557
pm25_fraction,0.038355038
spike_count_72h,0.038204085
pm10_lag_72,0.038117915
pm25_trend_ratio,0.03542115
pressure_lag_1,0.034055114
temperature_lag_6,0.032682583
aqi_same_hour_2weeks_ago,0.032434974
pm25_roll_std_24,0.032406617
aqi_lag_168,0.031886976
wind_speed_lag_24,0.030340375
aqi_trend_slope_6h,0.029538866
temperature_change_24h,0.02949776
aqi_roll_min_24,0.02910339
aqi_same_hour_yesterday,0.027479684
pm10_lag_24,0.024558496
aqi_persistence,0.02391404
pressure_roll_mean_24,0.023850001
aqi_roll_mean_48,0.023537144
wind_speed,0.02330484
aqi_zscore_72h,0.023016427
pm10_roll_mean_24,0.02249193
co_change_24h,0.021801919
pm25_lag_72,0.020773778
pm25_lag_6,0.018948212
aqi_lag_24,0.018873384
humidity_change_24h,0.018659309
heat_dryness,0.018392488
pm25_ewm_24,0.017808102
aqi_roll_mean_6,0.017509902
aqi_recovery_rate,0.017492479
no2_change_24h,0.017406266
cloud_cover,0.016670005
wind_speed_lag_6,0.016064242
aqi_volatility_ratio,0.015830195
aqi_lag_12,0.015550774
aqi_lag_6,0.014982592
aqi_roll_mean_12,0.013901733
cloud_cover_lag_1,0.013645984
wind_y,0.012523381
rain_24h,0.011614349
pm25_vs_24h_avg,0.011215401
hour_cos,0.010922127
aqi_momentum_24_168,0.010815404
pm10_change_24h,0.010526833
pm25_roll_mean_6,0.01033784
aqi_acceleration,0.010232405
aqi_change_6h,0.008631758
aqi_momentum_24_72,0.008526376
aqi_trend_ratio,0.008389601
aqi_roll_mean_24,0.007505573
aqi_roll_std_24,0.007157627
aqi_ewm_24,0.007151698
wind_speed_change_24h,0.0071250675
aqi_same_hour_last_week,0.0071016797
aqi_change_1h,0.006943152
pm10_lag_6,0.0064288867
aqi_change_24h,0.006285073
aqi_percentile_72,0.005923426
aqi_roll_mean_72,0.005142666
aqi_lag_2,0.004781281
aqi_lag_7,0.004467192
is_rush_hour,0.003930104
pm25_change_24h,0.0037960662
wind_dispersal,0.003686256
wind_speed_lag_1,0.0035645966
pm25_lag_3,0.0035511896
aqi_same_hour_3days_ago,0.0034793778
humidity_lag_6,0.0030663954
aqi_above_recent_q90,0.002346809
pm25_roll_std_6,0.0023099277
dust_hours_72h,0.002017784
aqi_momentum_6_24,0.002002138
consecutive_hours_above_150,0.0019415945
wind_dir_cos,0.0016790361
pm25_lag_2,0.0013301626
aqi_vs_week,0.0008554238
aqi_lag_3,0.00040258694
is_weekend,0.0
quarter,0.0
dust_event,0.0
aqi_regime,0.0
