feature,importance
pm25,0.09035179
pm25_ewm_24,0.053863224
pm25_roll_mean_24,0.051011916
pm25_lag_1,0.04361577
aqi_roll_mean_168,0.039622877
doy_cos,0.036577716
aqi_lag_1,0.03334863
pm25_pm10_ratio,0.019377613
month_cos,0.019243725
co,0.016177641
aqi_lag_24,0.015427574
aqi_change_6h,0.014983988
pm25_roll_max_72,0.014738677
no2_o3_ratio,0.012925602
pm25_lag_24,0.012538586
aqi_roll_max_72,0.011834443
temperature_roll_mean_24,0.010712283
pm25_roll_max_24,0.010333184
aqi_ewm_72,0.010120297
pm25_roll_std_72,0.010075411
o3,0.010045422
aqi_lag_48,0.008870807
aqi_lag_72,0.00883806
doy_sin,0.008678995
aqi_roll_min_24,0.008656179
hour_cos,0.008215519
humidity_roll_mean_24,0.007977858
month_sin,0.00793007
pm25_roll_median_72,0.007901198
pm25_fraction,0.007867117
weekday_cos,0.007819185
pm25_roll_mean_72,0.007639616
aqi_roll_std_72,0.0073679304
pm25_lag_72,0.007068901
aqi_lag_336,0.0070129596
hours_since_aqi_spike,0.006702163
aqi_roll_median_72,0.0065675247
aqi_roll_min_72,0.00653447
so2_roll_mean_24,0.00629979
aqi_same_hour_yesterday,0.0061873444
wind_speed_roll_mean_24,0.0061096535
aqi_roll_median_24,0.006050249
aqi_roll_max_24,0.006007288
wind_speed_lag_24,0.0059720464
aqi_zscore_72h,0.0059430874
aqi_above_recent_q90,0.005931089
co_roll_mean_24,0.0058114887
no2_roll_mean_24,0.005763548
o3_roll_std_24,0.0057090768
aqi_same_hour_last_week,0.0056434106
pm10_roll_mean_24,0.005457251
aqi_lag_168,0.0054195523
rain_72h,0.0054088878
pm25_lag_168,0.0053170957
aqi_roll_mean_72,0.0052286875
pm25_lag_336,0.0051430543
pm25_roll_median_24,0.0051128305
aqi_volatility_72,0.0051092017
aqi_lag_12,0.004959356
pm10_lag_72,0.00495583
o3_roll_mean_24,0.0049355426
no2_roll_std_24,0.0049047573
aqi_momentum_24_72,0.0048357244
hour_of_week_sin,0.004819343
hour_of_week_cos,0.0048191184
pressure_lag_1,0.0048119714
pressure_roll_mean_24,0.004769926
pm10_roll_mean_72,0.004719866
aqi_roll_mean_24,0.0046620495
weekday_sin,0.0046612676
temperature_roll_std_24,0.004654123
pressure_change_24h,0.0046540024
wind_speed_lag_1,0.0045993696
aqi_roll_std_24,0.004567869
o3_change_24h,0.0045234277
aqi_momentum_24_168,0.0043302504
no2,0.004312109
rain_24h,0.004256011
humidity,0.004254994
temp_humidity,0.004196225
pm10_lag_24,0.004186098
aqi_change_24h,0.0041790307
heat_dryness,0.004114751
pm25_lag_12,0.004000928
no2_change_24h,0.0039949855
humidity_lag_6,0.0039053222
aqi_lag_2,0.00389155
pm25_roll_std_24,0.0038526214
aqi_roll_mean_48,0.0037478276
humidity_lag_24,0.003699485
pm10_roll_std_24,0.0034995328
so2_change_24h,0.0034561562
so2,0.0034115599
wind_speed_roll_std_24,0.0033166565
wind_dispersal,0.0032077448
pm25_lag_48,0.003036916
aqi_roll_mean_12,0.0029344757
pm25_change_24h,0.002797353
pm10,0.0027845474
pm10_change_24h,0.0027183786
wind_speed,0.0026560398
temperature_lag_1,0.0025594486
co_change_24h,0.002479085
pm10_lag_6,0.0024244988
pressure,0.0024175278
wind_speed_lag_6,0.0023380518
aqi_volatility_24,0.0022442169
pm25_lag_2,0.002206586
aqi_ewm_24,0.0021751344
aqi_persistence,0.002171691
aqi_momentum_6_24,0.002055729
temperature,0.001974096
aqi_lag_7,0.0019497639
temperature_lag_6,0.0018457491
hour_sin,0.0017618971
temperature_lag_24,0.0017150085
aqi_roll_mean_6,0.001542048
pm25_lag_6,0.0015094666
aqi_change_1h,0.0013957578
aqi_lag_3,0.001249085
humidity_lag_1,0.0010240723
pm10_lag_1,0.00092363404
consecutive_hours_above_150,0.00090032927
pm25_lag_3,0.00070371386
aqi_lag_6,0.00034788097
is_rush_hour,0.0002908337
aqi_same_hour_2weeks_ago,0.0
is_weekend,0.0
precipitation,0.0
dust_event,0.0
