feature,mean_abs_shap
hours_since_aqi_spike,19.219402
pm25_roll_max_72,5.160383
pm25,3.6668558
month_cos,3.296739
doy_cos,2.8705587
temperature_roll_std_24,2.8287497
pm25_roll_std_336,2.3198714
aqi_roll_max_72,1.5252062
doy_sin,1.2519268
so2,1.0002971
wind_gusts_roll_max_24,0.8247259
rain_24h,0.64535075
co,0.6239183
aqi_roll_min_168,0.5540142
pressure_change_24h,0.50793767
cloud_cover_roll_mean_24,0.48461872
wind_speed_roll_mean_24,0.4697938
pm25_trend_ratio,0.45342454
hour_sin,0.44483817
no2,0.36186352
wind_speed_roll_std_24,0.3569368
no2_o3_ratio,0.35260162
temperature_roll_mean_24,0.34644333
rain_72h,0.3460896
pm25_roll_max_24,0.31734368
so2_roll_mean_24,0.3166356
so2_change_24h,0.31647664
pm25_lag_72,0.3108471
weekday_sin,0.30664474
no2_change_24h,0.2935124
pm10,0.2671414
aqi_lag_12,0.26311806
pm25_roll_mean_336,0.25838616
temperature_lag_1,0.25447005
aqi_roll_mean_168,0.2524851
pm25_lag_48,0.24598312
o3_roll_mean_24,0.23044716
no2_roll_std_24,0.22291785
pressure,0.22041138
wind_gusts_roll_mean_24,0.20764685
pm25_roll_mean_72,0.197705
pressure_roll_mean_24,0.19753903
pm25_roll_mean_168,0.19558182
pm10_roll_mean_72,0.1945032
pm25_roll_std_168,0.19069988
temperature,0.1806842
aqi_roll_min_72,0.17569901
aqi_zscore_72h,0.17285708
temperature_lag_24,0.16954434
week_of_year,0.16377608
pm25_roll_mean_24,0.1630456
humidity,0.1615923
co_change_24h,0.16132438
humidity_roll_mean_24,0.16063981
aqi_lag_48,0.15444225
pm10_roll_mean_24,0.15175056
pm25_lag_168,0.1511118
o3_change_24h,0.1488049
pm25_vs_72h_avg,0.1446442
o3_roll_std_24,0.1428325
aqi_roll_mean_24,0.14259881
humidity_lag_1,0.14092949
aqi_roll_min_24,0.13960461
aqi_roll_std_72,0.1364925
aqi_roll_mean_336,0.13439113
co_roll_mean_24,0.13361754
hour_cos,0.12680274
aqi_lag_72,0.12669511
aqi_same_hour_30days_ago,0.1244229
aqi_momentum_24_72,0.11515776
aqi_lag_1,0.1135782
aqi_change_1h,0.109783426
aqi_lag_24,0.105429426
pm10_lag_72,0.104539044
o3,0.10301583
no2_roll_mean_24,0.10225995
aqi_roll_std_168,0.09982445
aqi_same_day_last_year,0.09957385
aqi_roll_mean_72,0.09852873
pm10_roll_std_24,0.09838634
pm25_pm10_ratio,0.09590195
pm10_change_24h,0.09470392
pm25_lag_336,0.092661366
aqi_roll_max_168,0.0899728
pm25_fraction,0.08957546
wind_speed_change_24h,0.08894058
pm25_lag_1,0.08719169
pm25_roll_std_72,0.08617647
aqi_change_6h,0.08413231
humidity_lag_6,0.08061132
wind_speed_lag_24,0.0801787
aqi_roll_mean_48,0.07956595
aqi_ewm_24,0.079267874
temp_humidity,0.0789373
humidity_lag_24,0.07881033
aqi_roll_std_24,0.07874756
aqi_same_hour_yesterday,0.07841893
pm10_lag_24,0.078224495
aqi_trend_ratio,0.07797333
aqi_diff_24_168,0.0758975
aqi_lag_336,0.07446525
temperature_change_24h,0.073894955
pm25_lag_24,0.07370147
pressure_lag_1,0.06898422
pm25_roll_std_24,0.065347016
aqi_recovery_rate,0.065048
aqi_roll_mean_12,0.06487047
wind_dispersal,0.064206764
aqi_percentile_72,0.06140423
pm10_lag_6,0.060157523
aqi_persistence,0.059242997
aqi_momentum_24_168,0.05853374
pm10_lag_1,0.058303975
aqi_lag_168,0.0569203
month_sin,0.05477647
aqi_volatility_ratio,0.053640094
pm25_lag_12,0.05348998
aqi_ewm_72,0.05299244
wind_x,0.052630045
wind_direction,0.049237385
aqi_trend_slope_6h,0.04805879
pm25_lag_2,0.04667583
heat_dryness,0.046095837
wind_speed,0.04536361
is_rush_hour,0.042040233
aqi_persistence_ratio,0.038474366
aqi_vs_week,0.035610147
wind_dir_sin,0.035433244
aqi_roll_max_24,0.03496361
pm25_ewm_24,0.034910433
weekday_cos,0.033501484
aqi_same_hour_last_week,0.033489194
aqi_lag_7,0.032954846
aqi_momentum_6_24,0.03186153
aqi_same_hour_2weeks_ago,0.031810887
cloud_cover,0.030844491
wind_speed_lag_6,0.030557465
spike_count_72h,0.02992246
wind_dir_cos,0.029297046
wind_y,0.027001146
wind_speed_lag_1,0.02679882
temperature_lag_6,0.024557618
cloud_cover_lag_1,0.022575242
pm25_roll_mean_6,0.021766573
pm25_vs_24h_avg,0.02125183
aqi_lag_6,0.020729633
aqi_roll_mean_6,0.019923111
aqi_acceleration,0.01802874
pm25_change_24h,0.014652082
pm25_lag_6,0.014269822
wind_gusts,0.01361042
humidity_change_24h,0.013062566
dust_hours_72h,0.012899815
aqi_lag_2,0.012591857
pm25_roll_std_6,0.0121717965
aqi_change_24h,0.009642615
pm25_lag_3,0.007447316
is_weekend,0.00592943
aqi_lag_3,0.004086179
aqi_same_hour_3days_ago,0.0035878527
quarter,0.003565094
precipitation,0.0015296888
aqi_above_recent_q90,0.0006377221
consecutive_hours_above_150,7.3502524e-05
dust_event,0.0
aqi_regime,0.0
