feature,native_weight,importance_gain
no2_o3_ratio,0.013801014,35066.62109375
temperature_roll_mean_24,0.005418612,13768.00390625
temperature_change_24h,0.0022668655,5759.81689453125
temperature_lag_1,0.0035880825,9116.861328125
temperature_lag_6,0.001779248,4520.8427734375
temperature_lag_24,0.005366236,13634.9228515625
humidity_roll_mean_24,0.006348361,16130.376953125
humidity_change_24h,0.0027279402,6931.34912109375
humidity_lag_1,0.0027873958,7082.41796875
humidity_lag_6,0.0014706848,3736.822998046875
humidity_lag_24,0.0029903979,7598.220703125
wind_speed_roll_mean_24,0.0048822565,12405.1923828125
wind_speed_change_24h,0.0014020529,3562.438232421875
wind_speed_lag_1,0.0013830358,3514.117919921875
wind_speed_lag_6,0.0017144041,4356.08251953125
wind_speed_lag_24,0.0022855324,5807.2470703125
wind_speed_roll_std_24,0.002450313,6225.93359375
temperature_roll_std_24,0.00335106,8514.6171875
temp_humidity,0.0027777287,7057.85498046875
heat_dryness,0.0034245583,8701.3671875
wind_dispersal,0.0014752394,3748.3955078125
rain_24h,0.003542581,9001.248046875
rain_72h,0.013779854,35012.85546875
pressure_lag_1,0.0039366814,10002.6064453125
pressure_roll_mean_24,0.004813228,12229.7998046875
pressure_change_24h,0.0044996887,11433.13671875
wind_gusts_roll_mean_24,0.006796898,17270.052734375
wind_gusts_roll_max_24,0.009633592,24477.732421875
cloud_cover_lag_1,0.0024430745,6207.54150390625
cloud_cover_roll_mean_24,0.007331567,18628.578125
