feature,native_weight,importance_gain
temperature,0.0003915668,573.3145141601562
humidity,0.0004164571,609.7577514648438
pressure,0.00087954145,1287.7850341796875
wind_speed,0.0005883227,861.3956298828125
wind_direction,0.0004401625,644.4661254882812
wind_gusts,0.00076794263,1124.3870849609375
precipitation,0.00036336714,532.0258178710938
cloud_cover,0.0007258339,1062.7332763671875
pm25,0.032962687,48262.484375
pm10,0.0013854563,2028.5228271484375
co,0.0034513841,5053.361328125
no2,0.005649958,8272.4140625
so2,0.0012781306,1871.38134765625
o3,0.00364388,5335.205078125
hour_sin,0.0010688717,1564.993896484375
hour_cos,0.0016741921,2451.27685546875
month_sin,0.0031837819,4661.55029296875
month_cos,0.36915344,540497.875
weekday_sin,0.0030455156,4459.10693359375
weekday_cos,0.0031189874,4566.68115234375
week_of_year,0.007510586,10996.662109375
quarter,0.007967731,11665.9931640625
doy_sin,0.010895172,15952.220703125
doy_cos,0.04436022,64950.23828125
is_weekend,0.0029318838,4292.732421875
is_rush_hour,0.0006372313,933.00537109375
wind_dir_sin,0.0011660114,1707.221435546875
wind_dir_cos,0.00072772626,1065.5040283203125
wind_x,0.0010662199,1561.1112060546875
wind_y,0.0008529328,1248.8258056640625
aqi_lag_1,0.0074393684,10892.388671875
aqi_lag_2,0.00031788097,465.427001953125
aqi_lag_3,0.00035610664,521.3953247070312
aqi_lag_6,0.000805936,1180.0152587890625
aqi_lag_7,0.0020416412,2989.279052734375
aqi_lag_12,0.0023712558,3471.885986328125
aqi_lag_24,0.0027274964,3993.4775390625
aqi_lag_48,0.0011807911,1728.861083984375
aqi_lag_72,0.0015430251,2259.22802734375
aqi_lag_168,0.001979213,2897.87451171875
aqi_lag_336,0.0014714263,2154.396240234375
aqi_same_hour_yesterday,0.006774834,9919.4072265625
aqi_same_hour_last_week,0.0029940817,4383.7998046875
aqi_same_hour_2weeks_ago,0.0011999188,1756.8671875
aqi_same_hour_3days_ago,0.0010454401,1530.686279296875
aqi_same_hour_30days_ago,0.0017355344,2541.09130859375
aqi_same_day_last_year,0.0016033014,2347.481689453125
pm25_lag_1,0.012701921,18597.58203125
pm25_lag_2,0.00070067204,1025.8924560546875
pm25_lag_3,0.00040778553,597.0612182617188
pm25_lag_6,0.0022491806,3293.14892578125
pm25_lag_12,0.0015607048,2285.11376953125
pm25_lag_24,0.0032541184,4764.53369140625
pm25_lag_48,0.0018602951,2723.76025390625
pm25_lag_72,0.0029004044,4246.6416015625
pm25_lag_168,0.0037746304,5526.64404296875
pm25_lag_336,0.0024174359,3539.5009765625
pm25_roll_mean_6,0.00088532636,1296.2550048828125
pm25_roll_std_6,0.00061761437,904.283203125
pm25_roll_mean_24,0.004348392,6366.72021484375
pm25_roll_std_24,0.0009849186,1442.0733642578125
pm25_roll_mean_72,0.0026730658,3913.782470703125
pm25_roll_std_72,0.004018635,5883.90478515625
pm25_roll_mean_168,0.0037379682,5472.96484375
pm25_roll_std_168,0.005291388,7747.412109375
pm25_roll_mean_336,0.015389121,22532.05859375
pm25_roll_std_336,0.011259666,16485.896484375
pm25_roll_max_24,0.008837568,12939.568359375
pm25_roll_max_72,0.019410813,28420.439453125
pm25_ewm_24,0.0036584921,5356.599609375
pm25_change_24h,0.0018400687,2694.145751953125
pm25_vs_24h_avg,0.0017406091,2548.521484375
pm25_vs_72h_avg,0.0028039664,4105.44140625
pm10_lag_1,0.0013688568,2004.2183837890625
pm10_lag_6,0.0024360649,3566.776611328125
pm10_lag_24,0.00226042,3309.605224609375
pm10_lag_72,0.001964611,2876.4951171875
pm10_roll_mean_24,0.0039467965,5778.72216796875
pm10_roll_mean_72,0.0033523645,4908.38134765625
pm10_roll_std_24,0.0018871939,2763.144287109375
pm10_change_24h,0.001802436,2639.045654296875
dust_event,0.0,0.0
aqi_roll_mean_6,0.0012611845,1846.569580078125
aqi_roll_mean_12,0.0022412145,3281.4853515625
aqi_roll_mean_24,0.008731041,12783.59765625
aqi_roll_mean_48,0.004202639,6153.3154296875
aqi_roll_mean_72,0.0032115257,4702.17138671875
aqi_roll_mean_168,0.0059168153,8663.134765625
aqi_roll_mean_336,0.005605284,8207.0048828125
aqi_roll_std_24,0.0015491537,2268.201171875
aqi_roll_max_24,0.0075781564,11095.595703125
aqi_roll_min_24,0.0038327565,5611.74951171875
aqi_roll_std_72,0.0034663898,5075.33203125
aqi_roll_max_72,0.03538253,51805.5078125
aqi_roll_min_72,0.0046516326,6810.7109375
aqi_roll_std_168,0.004819746,7056.85546875
aqi_roll_max_168,0.006609596,9677.47265625
aqi_roll_min_168,0.008877817,12998.5
aqi_ewm_24,0.015073155,22069.435546875
aqi_ewm_72,0.0030314326,4438.4873046875
aqi_trend_ratio,0.0016232918,2376.750732421875
pm25_trend_ratio,0.0030102383,4407.45556640625
aqi_momentum_6_24,0.0006546856,958.5611572265625
aqi_momentum_24_72,0.0025876793,3788.763671875
aqi_momentum_24_168,0.0017094886,2502.956298828125
aqi_change_1h,0.00082845986,1212.99365234375
aqi_change_6h,0.0030678445,4491.7998046875
aqi_change_24h,0.0017491968,2561.09521484375
aqi_trend_slope_6h,0.0017115888,2506.03125
aqi_acceleration,0.00061680784,903.102294921875
aqi_persistence,0.0022421128,3282.80078125
aqi_diff_24_168,0.0045636264,6681.8564453125
aqi_recovery_rate,0.002264953,3316.2421875
aqi_persistence_ratio,0.004241431,6210.1123046875
aqi_vs_week,0.0011460591,1678.0081787109375
aqi_zscore_72h,0.0025692182,3761.733642578125
aqi_percentile_72,0.0037778432,5531.34814453125
aqi_above_recent_q90,0.0010426478,1526.597900390625
aqi_volatility_ratio,0.0016047497,2349.602294921875
aqi_regime,0.0,0.0
spike_count_72h,0.009266349,13567.3701171875
dust_hours_72h,0.0059701186,8741.1787109375
hours_since_aqi_spike,0.011697448,17126.876953125
consecutive_hours_above_150,0.0009850382,1442.2486572265625
so2_roll_mean_24,0.0036039595,5276.75537109375
so2_change_24h,0.0018959406,2775.950927734375
co_roll_mean_24,0.003319325,4860.00634765625
co_change_24h,0.002023218,2962.3046875
o3_roll_mean_24,0.0035855698,5249.830078125
o3_change_24h,0.0015961704,2337.040771484375
no2_roll_mean_24,0.0030044303,4398.95166015625
no2_change_24h,0.0032186478,4712.59912109375
no2_roll_std_24,0.0032417702,4746.4541015625
o3_roll_std_24,0.002524194,3695.811279296875
pm25_pm10_ratio,0.0027101475,3968.076171875
pm25_fraction,0.0050104293,7336.044921875
no2_o3_ratio,0.00938538,13741.6513671875
temperature_roll_mean_24,0.00337929,4947.80419921875
temperature_change_24h,0.0011574322,1694.66015625
temperature_lag_1,0.0026649158,3901.849853515625
temperature_lag_6,0.0012765063,1869.003173828125
temperature_lag_24,0.0020152633,2950.657958984375
humidity_roll_mean_24,0.004626683,6774.1806640625
humidity_change_24h,0.0020999303,3074.623291015625
humidity_lag_1,0.0024548643,3594.3017578125
humidity_lag_6,0.0009815394,1437.125732421875
humidity_lag_24,0.0013656929,1999.5860595703125
wind_speed_roll_mean_24,0.003086768,4519.5068359375
wind_speed_change_24h,0.0011702743,1713.4630126953125
wind_speed_lag_1,0.0010384895,1520.5096435546875
wind_speed_lag_6,0.0008578485,1256.023193359375
wind_speed_lag_24,0.0018207732,2665.894287109375
wind_speed_roll_std_24,0.0041213543,6034.3017578125
temperature_roll_std_24,0.0028295794,4142.94287109375
temp_humidity,0.001814905,2657.30224609375
heat_dryness,0.0030594512,4479.5107421875
wind_dispersal,0.0008033871,1176.283203125
rain_24h,0.0019081057,2793.762451171875
rain_72h,0.001954919,2862.304443359375
pressure_lag_1,0.0021425022,3136.955322265625
pressure_roll_mean_24,0.0050345496,7371.361328125
pressure_change_24h,0.0028665494,4197.07275390625
wind_gusts_roll_mean_24,0.002817495,4125.24951171875
wind_gusts_roll_max_24,0.0073133768,10707.9169921875
cloud_cover_lag_1,0.001196542,1751.9229736328125
cloud_cover_roll_mean_24,0.0038129247,5582.712890625
