feature,importance
aqi_lag_1,0.25080612
pm25,0.12045939
pm25_lag_1,0.0573675
month_cos,0.014097214
doy_cos,0.013904235
pm25_roll_mean_24,0.012541617
aqi_lag_24,0.01142828
consecutive_hours_above_150,0.010126681
aqi_roll_mean_48,0.0086408155
pm25_lag_24,0.00822193
o3,0.00802887
humidity,0.007846613
aqi_lag_48,0.0075218924
wind_speed_roll_mean_24,0.007360023
co,0.0070571196
aqi_ewm_72,0.0068697114
aqi_roll_mean_168,0.00678907
aqi_same_hour_last_week,0.006754225
pm25_roll_max_24,0.0066980477
aqi_roll_min_72,0.006379855
doy_sin,0.006300643
so2,0.0062727747
pm25_roll_max_72,0.0062597957
pm25_lag_168,0.0061600665
aqi_roll_max_72,0.00612663
heat_dryness,0.006084177
aqi_roll_mean_24,0.006084159
no2_o3_ratio,0.0060502575
temperature_roll_mean_24,0.0059096245
aqi_roll_median_72,0.0059055206
so2_roll_mean_24,0.005833154
pm25_roll_std_72,0.005806076
aqi_roll_std_72,0.0057560094
humidity_lag_1,0.00573881
pm25_roll_median_72,0.0056867423
month_sin,0.0056638243
co_roll_mean_24,0.005638993
pm25_fraction,0.005612415
rain_24h,0.0055964813
aqi_roll_min_24,0.00552175
pm25_roll_median_24,0.005470049
aqi_lag_6,0.0053655184
temperature_roll_std_24,0.005327312
aqi_roll_median_24,0.0053237597
aqi_same_hour_yesterday,0.0052800355
rain_72h,0.0051971213
aqi_momentum_24_168,0.005173388
aqi_roll_mean_72,0.0051124236
humidity_roll_mean_24,0.005090628
aqi_change_24h,0.005045915
aqi_lag_336,0.00500239
aqi_change_6h,0.0049984935
aqi_persistence,0.0049855295
pressure_change_24h,0.0049036075
pm25_pm10_ratio,0.0048954417
o3_roll_mean_24,0.0048921737
no2_roll_mean_24,0.004711335
no2_roll_std_24,0.0046869875
pm25_roll_std_24,0.0046724556
pm10_roll_mean_72,0.004670525
humidity_lag_24,0.004663919
wind_speed_roll_std_24,0.004622029
weekday_cos,0.0045896918
pm25_change_24h,0.004584931
pressure_roll_mean_24,0.004551267
pm10_roll_mean_24,0.004546405
pm10_roll_std_24,0.004503401
pressure_lag_1,0.004453165
hour_of_week_sin,0.004434364
aqi_lag_168,0.0044036545
aqi_same_hour_2weeks_ago,0.0043429956
hour_of_week_cos,0.0042794887
pm25_roll_mean_72,0.004246707
pm25_lag_336,0.004203895
temperature_lag_1,0.0041836416
hours_since_aqi_spike,0.0041392567
pm10_lag_6,0.004134781
aqi_momentum_24_72,0.004100004
pm25_lag_48,0.004014772
o3_roll_std_24,0.0039949194
pm25_lag_6,0.0038799606
aqi_ewm_24,0.003872755
aqi_change_1h,0.003870828
pm25_lag_72,0.0036382494
aqi_volatility_72,0.0034327696
weekday_sin,0.0034228032
temp_humidity,0.0034120586
temperature_lag_24,0.0033545885
no2_change_24h,0.0033522348
wind_speed_lag_1,0.0033095218
aqi_lag_12,0.0033034578
aqi_lag_72,0.0032743474
aqi_roll_std_24,0.0032420803
pm25_ewm_24,0.0032341462
no2,0.003226643
is_weekend,0.0030125494
aqi_roll_max_24,0.0029576046
so2_change_24h,0.0029317385
co_change_24h,0.0028841267
o3_change_24h,0.0028197982
pm10_lag_24,0.0027892564
aqi_zscore_72h,0.0027677084
pressure,0.002750527
pm10_lag_1,0.002736036
pm10,0.0026883695
pm10_lag_72,0.002683142
humidity_lag_6,0.002653388
pm10_change_24h,0.00256867
wind_speed_lag_24,0.0025186792
aqi_volatility_24,0.0025072682
temperature,0.0024743727
aqi_roll_mean_12,0.0024625608
aqi_roll_mean_6,0.0021667928
wind_speed_lag_6,0.0021126503
aqi_lag_3,0.0019702185
wind_dispersal,0.0017812261
wind_speed,0.001574963
temperature_lag_6,0.0015375292
aqi_momentum_6_24,0.0014608026
hour_cos,0.0013898194
pm25_lag_12,0.0010518872
aqi_lag_7,0.0008627695
pm25_lag_3,0.00065365556
pm25_lag_2,0.0003636326
hour_sin,0.00033631007
precipitation,0.0
aqi_lag_2,0.0
is_rush_hour,0.0
aqi_above_recent_q90,0.0
dust_event,0.0
