feature,importance
pm25_roll_mean_168,0.047614088202465814
pm25_roll_std_336,0.03938676255349976
pm25,0.03758573298192647
month_cos,0.035039171468613066
hours_since_aqi_spike,0.03248962859015667
so2_roll_mean_24,0.03090993436187933
temperature_roll_mean_24,0.030847604891730905
pm25_roll_mean_72,0.030389550681510988
pm25_pm10_ratio,0.028065245495538207
co,0.02635471878797889
co_roll_mean_24,0.023138671871767023
pm25_roll_std_168,0.021704051332022568
pressure,0.020562537218099412
pm25_roll_std_72,0.019355362437675425
aqi_roll_std_168,0.018989853736155825
aqi_lag_72,0.01830548414392077
wind_gusts_roll_max_24,0.016111834200533255
aqi_lag_48,0.013959660554738752
aqi_roll_min_168,0.01364166585262651
so2,0.013432956468139192
aqi_roll_std_72,0.012073513488797061
month_sin,0.011954469430038377
aqi_lag_24,0.01173640190640931
pm25_roll_mean_24,0.011496853029948595
humidity_roll_mean_24,0.011397788980905954
no2_roll_std_24,0.011167853211286726
o3,0.010966929350274678
aqi_roll_min_72,0.010746058161116548
pm25_vs_24h_avg,0.009838254676032826
aqi_same_hour_30days_ago,0.009823037804681113
pm10,0.009659003899849333
wind_speed_roll_mean_24,0.009599400185343688
aqi_roll_min_24,0.009545364978267652
cloud_cover_roll_mean_24,0.009395808466176436
interaction_pm25_wind_inverse,0.009084824816161808
pm10_roll_mean_72,0.008864980212405952
pm25_roll_std_24h,0.008734869040737699
aqi_lag_336,0.008682659808188059
o3_roll_mean_24,0.00792510709145522
pm25_vs_72h_avg,0.0077918525537245134
pm10_lag_72,0.0076913180905177235
pressure_change_24h,0.007675232086236074
aqi_lag_168,0.007403496205372955
pm10_roll_mean_24,0.007318676660953102
o3_roll_std_24,0.007186794207081023
aqi_momentum_24_168,0.006901420684504594
pm25_roll_std_24,0.006851482452487804
temperature_roll_std_24,0.006741344959367674
quarter,0.006620106309531675
wind_dispersal,0.0066194123232633136
pm10_roll_std_24,0.006274304125243471
pm10_lag_24,0.006270195223965639
aqi_lag_6,0.00626256144978066
wind_speed_roll_std_24,0.0062246729171904925
aqi_trend_ratio,0.006067652803414843
aqi_change_6h,0.006042791609171409
aqi_persistence_ratio,0.005945549863308447
temperature,0.005928516107004468
aqi_roll_std_24,0.005736108634112615
aqi_zscore_72h,0.005573012324449457
temp_humidity,0.005515507940501944
no2_o3_ratio,0.005361085337413258
aqi_recovery_rate,0.005359142269859113
interaction_pm25_humidity,0.004862294791968319
temperature_lag_6,0.004666283040862417
wind_direction,0.004655258722699464
no2,0.004453554783918042
humidity_lag_24,0.004414808276218697
aqi_volatility_ratio,0.004363266324233892
humidity,0.0041356951550581824
wind_speed_lag_24,0.004080524405723913
aqi_diff_24_168,0.004036909368196278
wind_x,0.004035171922624782
pm25_change_24h,0.003974755469316215
wind_dir_cos,0.003970453433647788
heat_dryness,0.003918984940467893
pm10_roll_std_12h,0.0038844023566586205
o3_change_24h,0.0038614108309288865
pm10_change_24h,0.00363093046568668
aqi_lag_12,0.003491263447805202
so2_change_24h,0.0034348903416642628
pm10_lag_6,0.003385848496499831
weekday_sin,0.003320417008486488
co_change_24h,0.0031735910756156152
pm25_roll_std_6,0.0031690927760428924
wind_speed,0.0030493161701440935
no2_change_24h,0.0029751498202015164
aqi_momentum_6_24,0.002947480421639038
humidity_change_24h,0.0029112965121272706
temperature_change_24h,0.0027222344858649733
weekday_cos,0.0026808623621286587
wind_dir_sin,0.002633934926856917
pm10_diff_1h,0.0026337093752614033
humidity_lag_6,0.0025127698978022334
rain_72h,0.0024568337162258493
pm25_diff_1h,0.0023138156003939293
wind_speed_lag_6,0.0023115759047098922
wind_speed_change_24h,0.0021119678970911984
hour_cos,0.0017637307658346147
aqi_change_1h,0.001756541097695259
cloud_cover,0.0016506381794919034
cloud_cover_lag_1,0.0016165729788341805
hour_sin,0.0012402600878458293
consecutive_hours_above_150,0.0011046447473065755
dust_hours_72h,0.0010232233398184305
is_weekend,0.0007369361646648041
rain_24h,0.0006869879688041679
aqi_above_recent_q90,0.000663738413158374
aqi_acceleration,0.00045343136253325257
is_rush_hour,0.0001301094109351893
precipitation,4.60531996632089e-05
dust_event,6.4462511308506675e-06
